"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y5_predikert","y5_predikert_modell"
"0301",2026,727515,11227.042548,0.0154320427042741,3117.40901625318,3067.09016253176
"0301",2027,732102,11616.132051,0.0158668219059639,3120.72893712035,3106.48317905707
"0301",2028,736558,12043.218051,0.0163506717067767,3127.37490697764,3147.99946844364
"0301",2029,740922,12515.535399,0.0168918393555597,3137.72249892711,3192.2823478923
"0301",2030,745187,13044.882753,0.0175055157336346,3152.28594229271,3240.14376917084
"0301",2031,749367,13573.781956,0.0181136638736427,3170.4292414712,3287.97127468243
"0301",2032,753420,14126.998961,0.0187504963513047,3192.63591438958,3337.26435196793
"0301",2033,757356,14666.838365,0.0193658442859105,3218.18941466447,3385.59148872956
"0301",2034,761203,15215.580934,0.0199888609661286,3247.60660078936,3434.51650197339
"0301",2035,764957,15781.541332,0.0206306254233898,3281.20396266957,3484.60905753045
"0301",2036,768590,16334.719097,0.021252838440521,3318.11158027077,3533.76122162267
"0301",2037,772031,16906.62608,0.0218988953552383,3359.21556009232,3583.90840993623
"0301",2038,775235,17437.559398,0.0224932561068579,3402.2828716787,3630.78703941582
"0301",2039,778210,17953.849089,0.0230706995399699,3448.00935360685,3676.20741039465
"0301",2040,780977,18471.797761,0.0236521661470184,3496.98346237165,3721.37353979464
"0301",2041,783551,18984.801719,0.0242291844678904,3548.90143675149,3765.87009320979
"0301",2042,785947,19487.68276,0.0247951614549073,3603.45765124709,3809.36807321012
"0301",2043,788175,20002.816709,0.0253786490424081,3661.75596313454,3853.51656018242
"0301",2044,790249,20525.185091,0.0259730605049801,3723.64074897719,3898.0203212609
"0301",2045,792189,21067.232774,0.0265936951586048,3789.9685494451,3943.88436854782
"0301",2046,794016,21613.968271,0.027221073972061,3860.032600009,3990.09717648118
"0301",2047,795750,22153.308784,0.0278395335017279,3933.12962771546,4035.82211573573
"0301",2048,797405,22694.224573,0.0284600981596554,4009.86714067442,4081.77528721559
"0301",2049,798996,23258.081917,0.0291091343598716,4091.90486952816,4129.65440989939
"0301",2050,800540,23856.755055,0.0298008282596747,4180.48898484137,4180.48898484137
"1101",2026,14615,350.137565,0.0239574112213479,101.318700928566,104.187009285657
"1101",2027,14634,362.415007,0.0247652731310646,101.630506852857,105.585504384411
"1101",2028,14653,373.692581,0.0255028035897086,102.030844960606,106.890542632032
"1101",2029,14672,389.277067,0.0265319702153762,102.63256671651,108.682666901225
"1101",2030,14690,406.170958,0.0276494865895167,103.410663384644,110.642653538578
"1101",2031,14708,422.379831,0.0287176931601849,104.322094004498,112.555109580862
"1101",2032,14725,436.724036,0.0296586781663837,105.314666531913,114.275897021269
"1101",2033,14742,453.651201,0.0307727039072039,106.554333509599,116.322299336826
"1101",2034,14758,468.952516,0.0317761563897547,107.880923024559,118.202307561398
"1101",2035,14775,483.849235,0.0327478331641286,109.340431517757,120.06384346916
"1101",2036,14792,496.919862,0.0335938251757707,110.845047024864,121.726414789188
"1101",2037,14808,517.375208,0.0349388984332793,112.953751173381,124.324392533427
"1101",2038,14821,532.346055,0.0359183627960327,114.894334820523,126.262426946406
"1101",2039,14833,546.046121,0.0368129253016922,116.897669294688,128.059862629256
"1101",2040,14843,557.333576,0.0375485802061578,118.848906094465,129.558249751143
"1101",2041,14851,569.107999,0.0383211904248872,120.96021599136,131.128627911487
"1101",2042,14858,583.944839,0.0393017121416072,123.484512790212,133.120732557445
"1101",2043,14863,599.156002,0.0403119156294153,126.211178260145,135.184648488332
"1101",2044,14867,609.350898,0.0409868095782606,128.580199921991,136.587354738053
"1101",2045,14869,617.469062,0.0415272756742215,130.826875986207,137.710001213794
"1101",2046,14870,625.967895,0.0420960252185609,133.207386213392,138.891042603991
"1101",2047,14869,639.284993,0.0429944846997108,136.280785133658,140.752997333699
"1101",2048,14867,651.233098,0.0438039347548261,139.333224963865,142.44132428526
"1101",2049,14862,660.846633,0.0444655250302786,142.198575159098,143.803714451011
"1101",2050,14856,671.633004,0.0452095452342488,145.347714591992,145.347714591992
"1103",2026,147630,2615.613179,0.0177173554087923,685.001594025725,739.015940257247
"1103",2027,148116,2715.199783,0.0183315764873478,688.52380921787,748.264067039057
"1103",2028,148604,2824.699342,0.0190082322279346,692.883614715822,758.334941233271
"1103",2029,149098,2943.817047,0.0197441752873949,698.176655085028,769.243082753075
"1103",2030,149593,3071.548418,0.0205327015167822,704.47906100824,780.916244032958
"1103",2031,150088,3208.378752,0.0213766507115825,711.893636541756,793.412648840889
"1103",2032,150574,3339.063219,0.0221755629723591,720.116230284917,805.511477799743
"1103",2033,151054,3482.002283,0.0230513742304077,729.638026347033,818.69110716423
"1103",2034,151530,3622.754845,0.0239078390087771,740.126500220036,831.816250550089
"1103",2035,152002,3768.570045,0.0247928977579242,751.835566660387,845.481295223742
"1103",2036,152467,3921.794296,0.0257222500344337,764.922883146431,859.890280308275
"1103",2037,152915,4052.308078,0.0265003961547265,778.154425237465,872.472049243834
"1103",2038,153336,4200.593565,0.0273946989943653,793.184003848584,886.607279724698
"1103",2039,153730,4340.225153,0.0282327792428283,808.868273956726,900.052381202938
"1103",2040,154101,4481.119678,0.029079108363995,825.669553655549,913.671285848878
"1103",2041,154446,4626.038556,0.0299524659492638,843.769199966625,927.708226364717
"1103",2042,154769,4744.463879,0.0306551304137133,861.301319869239,939.430456956056
"1103",2043,155069,4880.771161,0.031474834821918,880.938840989157,952.815377612417
"1103",2044,155349,5018.3405,0.0323036549961699,901.730513996807,966.394211608784
"1103",2045,155608,5151.418055,0.0331050977777492,923.263102653819,979.631510958547
"1103",2046,155847,5285.62194,0.0339154551579434,945.944049257606,993.051822656007
"1103",2047,156067,5406.25349,0.0346405933989889,968.550528792525,1005.25411694932
"1103",2048,156268,5530.449745,0.0353908013476847,992.446119639234,1017.86066988025
"1103",2049,156451,5660.183414,0.0361786336552659,1017.87968298045,1031.08278751216
"1103",2050,156617,5789.803957,0.0369679150858464,1044.38441749336,1044.38441749336
"1106",2026,38292,791.406288,0.0206676665622062,274.378659685983,286.78659685983
"1106",2027,38483,815.491614,0.0211909574097653,275.402482573888,290.472600537367
"1106",2028,38669,846.068694,0.021879766583051,276.830206654698,294.886895169704
"1106",2029,38851,874.032086,0.0224970293171347,278.527480142322,299.011671257988
"1106",2030,39028,906.648182,0.0232307108229989,280.668711157749,303.674844630996
"1106",2031,39202,942.2123,0.0240348017958267,283.26502039305,308.704418758436
"1106",2032,39371,970.794183,0.0246575952604709,285.975623757604,312.924996177243
"1106",2033,39535,1010.458204,0.0255585735171367,289.48445436778,318.474356876635
"1106",2034,39696,1043.159848,0.0262787144296655,293.088068089284,323.22017022321
"1106",2035,39853,1081.544707,0.0271383511153489,297.360299285999,328.680684082284
"1106",2036,40008,1119.994303,0.0279942587232553,302.06666969149,334.19298882419
"1106",2037,40158,1150.329328,0.0286450851138005,306.678412618961,338.713975841876
"1106",2038,40302,1189.929557,0.0295253227383256,312.278387929368,344.415250780669
"1106",2039,40440,1227.351021,0.0303499263353116,318.158770072033,349.865991611971
"1106",2040,40570,1264.874445,0.0311775806014296,324.465586592957,355.344938548731
"1106",2041,40694,1300.128848,0.0319489076522337,331.001951675685,360.550115736883
"1106",2042,40812,1330.560981,0.032602199867686,337.492247987435,365.131782839193
"1106",2043,40923,1365.169562,0.0333594692959949,344.74283947197,370.278426402671
"1106",2044,41029,1400.878372,0.0341436148090375,352.51456849396,375.599443218013
"1106",2045,41129,1434.823634,0.0348859353254395,360.507499768789,380.701538176971
"1106",2046,41223,1467.61986,0.0356019663779929,368.763922123222,385.663437792026
"1106",2047,41312,1498.318492,0.0362683600890782,377.149858079455,390.351952765583
"1106",2048,41395,1529.960223,0.0369600247131296,386.023081062309,395.187114661956
"1106",2049,41472,1567.693612,0.0378012541473765,396.118127071043,400.914937216668
"1106",2050,41545,1602.724527,0.0385780365146227,406.29497090992,406.29497090992
"1108",2026,84545,1300.331459,0.0153803472588562,413.011034152797,422.110341527971
"1108",2027,85301,1357.999476,0.0159200885804387,414.381900245805,429.322910878581
"1108",2028,86039,1416.836845,0.016467379269866,416.301883545814,436.582191690367
"1108",2029,86762,1480.631594,0.0170654387174108,418.840507716498,444.190624548227
"1108",2030,87468,1547.932586,0.0176971302190515,422.009718335807,452.038873343227
"1108",2031,88158,1622.652999,0.0184061911454434,425.927283489574,460.442725181126
"1108",2032,88833,1697.49987,0.0191088882509878,430.476398592642,468.850457208128
"1108",2033,89492,1774.876881,0.0198327993675412,435.725507114949,477.44967479986
"1108",2034,90140,1854.578157,0.0205744193143998,441.699672348495,486.249180871237
"1108",2035,90779,1931.607873,0.0212781356150652,448.249801533012,494.856689218312
"1108",2036,91408,2015.008484,0.0220441152196744,455.701795963269,504.003780975303
"1108",2037,92023,2097.577348,0.0227940552687915,463.811163840256,513.094953834646
"1108",2038,92618,2179.703969,0.0235343450409208,472.576421606379,522.138948375234
