"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"1103",2020,"1103",4.5,125633,13050,4891,143574,3842,1980,,1157,439,897,75,183,639,698.03
"1103",2021,"1103",4.4,125664,13520,4963,144147,4784,2667,,1256,429,885,82,176,627,676.53
"1103",2022,"1103",4.6,125557,14050,5092,144699,4772,2662,,1241,431,892,84,192,616,689.015
"1103",2023,"1103",4.3,126202,14593,5216,146011,4936,2745,,1278,480,874,86,200,588,692.79
"1103",2024,"1103",4.7,128653,14986,5409,149048,5073,2790,,1350,496,878,90,196,592,689
"1103",2025,"1103",4.6,129009,15359,5755,150123,5072,2783,,1350,460,890,81,193,616,679
"1106",2007,"1106",,28014,2627,1662,32303,1035,328,198,509,,,,,,
"1106",2008,"1106",8.5,28666,2639,1651,32956,1164,466,194,504,71,,,,,
"1106",2009,"1106",10,29366,2649,1650,33665,1036,360,211,465,75,315,,56,248,
"1106",2010,"1106",9.5,29734,2678,1637,34049,996,355,202,439,74,302,14,59,229,
"1106",2011,"1106",9.4,30275,2750,1594,34619,1044,385,205,454,83,308,17,55,236,
"1106",2012,"1106",9.7,30675,2851,1573,35099,1081,427,195,459,88,294,14,51,229,
"1106",2013,"1106",7.6,31231,2921,1601,35753,1073,424,206,443,86,279,19,39,221,
"1106",2014,"1106",7.1,31451,3082,1566,36099,1104,444,225,435,112,278,22,51,205,
"1106",2015,"1106",6.69,31735,3270,1533,36538,1091,444,225,422,141,257,,48,191,225.935
"1106",2016,"1106",7.475,32037,3377,1537,36951,1061,448,222,391,144,257,,54,187,229.335
"1106",2017,"1106",8.2,32124,3543,1499,37166,1084,476,,375,143,248,,50,108,244.98
"1106",2018,"1106",8.5,31958,3725,1484,37167,1066,461,,367,142,241,,46,183,270.93
"1106",2019,"1106",9.4,31911,3846,1493,37250,1095,483,,361,149,248,14,54,180,288.79
"1106",2020,"1106",10,31813,4013,1531,37357,1085,473,,361,152,238,,53,177,294.78
"1106",2021,"1106",9.4,31605,4147,1571,37323,1155,557,,359,151,245,,54,179,281.105
"1106",2022,"1106",8.9,31571,4274,1599,37444,1197,602,,359,156,240,,59,169,274.895
"1106",2023,"1106",9.2,31808,4408,1639,37855,1244,611,,368,179,242,14,53,175,280.78
