"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y2s_predikert","y2s_predikert_modell"
"0301",2026,727515,11227.042548,0.0154320427042741,6198.29567926014,6569.95679260139
"0301",2027,732102,11616.132051,0.0158668219059639,6228.15817904101,6674.5140293892
"0301",2028,736558,12043.218051,0.0163506717067767,6267.16931661328,6786.53895207587
"0301",2029,740922,12515.535399,0.0168918393555597,6316.58422571802,6907.98459161419
"0301",2030,745187,13044.882753,0.0175055157336346,6378.14437085469,7041.57748341878
"0301",2031,749367,13573.781956,0.0181136638736427,6449.91579446107,7175.83754595154
"0301",2032,753420,14126.998961,0.0187504963513047,6533.60455490162,7315.78324585113
"0301",2033,757356,14666.838365,0.0193658442859105,6627.01354458975,7453.58908852345
"0301",2034,761203,15215.580934,0.0199888609661286,6731.8683210425,7594.17080260624
"0301",2035,764957,15781.541332,0.0206306254233898,6849.31614864431,7739.436911187
"0301",2036,768590,16334.719097,0.021252838440521,6976.69832807137,7882.68069067656
"0301",2037,772031,16906.62608,0.0218988953552383,7117.21214572829,8030.58467459178
"0301",2038,775235,17437.559398,0.0224932561068579,7263.80024613198,8169.36408387632
"0301",2039,778210,17953.849089,0.0230706995399699,7418.88149409601,8304.88339420597
"0301",2040,780977,18471.797761,0.0236521661470184,7584.51361567949,8441.02178508718
"0301",2041,783551,18984.801719,0.0242291844678904,7759.81108632255,8576.33748878875
"0301",2042,785947,19487.68276,0.0247951614549073,7943.85708297873,8709.65297568391
"0301",2043,788175,20002.816709,0.0253786490424081,8140.47613822509,8846.45917047469
"0301",2044,790249,20525.185091,0.0259730605049801,8349.27131230233,8985.7371771643
"0301",2045,792189,21067.232774,0.0265936951586048,8573.24007544748,9130.83393901228
"0301",2046,794016,21613.968271,0.027221073972061,8810.07565817787,9278.26548020926
"0301",2047,795750,22153.308784,0.0278395335017279,9057.42820072043,9425.08811348781
"0301",2048,797405,22694.224573,0.0284600981596554,9317.42970387503,9573.68076094598
"0301",2049,798996,23258.081917,0.0291091343598716,9595.86708731822,9729.84892188906
"0301",2050,800540,23856.755055,0.0298008282596747,9897.16923071513,9897.16923071513
"1101",2026,14615,350.137565,0.0239574112213479,182.010106083033,200.101060830333
"1101",2027,14634,362.415007,0.0247652731310646,183.290490563774,203.930840463813
"1101",2028,14653,373.692581,0.0255028035897086,184.815001395689,207.514293689653
"1101",2029,14672,389.277067,0.0265319702153762,186.908543056518,212.510790854201
"1101",2030,14690,406.170958,0.0276494865895167,189.508271180025,218.033084720099
"1101",2031,14708,422.379831,0.0287176931601849,192.494047481146,223.45755645616
"1101",2032,14725,436.724036,0.0296586781663837,195.718667874368,228.365131921131
"1101",2033,14742,453.651201,0.0307727039072039,199.670922828467,234.264614699219
"1101",2034,14758,468.952516,0.0317761563897547,203.88791478048,239.719786951199
"1101",2035,14775,483.849235,0.0327478331641286,208.502236462193,245.147969056441
"1101",2036,14792,496.919862,0.0335938251757707,213.255186485133,250.01091891607
"1101",2037,14808,517.375208,0.0349388984332793,219.846574866438,257.749414373537
"1101",2038,14821,532.346055,0.0359183627960327,225.957216608104,263.558575651099
"1101",2039,14833,546.046121,0.0368129253016922,232.27611936097,268.980628699523
"1101",2040,14843,557.333576,0.0375485802061578,238.453310647689,273.525297036302
"1101",2041,14851,569.107999,0.0383211904248872,245.146223902502,278.333922871701
"1101",2042,14858,583.944839,0.0393017121416072,253.148590721444,284.49798674492
"1101",2043,14863,599.156002,0.0403119156294153,261.824211428377,290.948083292715
"1101",2044,14867,609.350898,0.0409868095782606,269.397498773419,295.35161132054
"1101",2045,14869,617.469062,0.0415272756742215,276.607739744478,298.901833531666
"1101",2046,14870,625.967895,0.0420960252185609,284.262230136484,302.661447219393
"1101",2047,14869,639.284993,0.0429944846997108,294.171182188747,308.643585564786
"1101",2048,14867,651.233098,0.0438039347548261,304.052711107329,314.111039034951
"1101",2049,14862,660.846633,0.0444655250302786,313.382749738356,318.579480247642
"1101",2050,14856,671.633004,0.0452095452342488,323.672387145032,323.672387145032
"1103",2026,147630,2615.613179,0.0177173554087923,1365.50889349178,1505.08893491782
"1103",2027,148116,2715.199783,0.0183315764873478,1374.81253702924,1530.45481475813
"1103",2028,148604,2824.699342,0.0190082322279346,1386.466108318,1558.37776181716
"1103",2029,149098,2943.817047,0.0197441752873949,1400.76938641795,1588.91475961388
"1103",2030,149593,3071.548418,0.0205327015167822,1417.97659349694,1621.90637398776
"1103",2031,150088,3208.378752,0.0213766507115825,1438.42689762124,1657.571817813
"1103",2032,150574,3339.063219,0.0221755629723591,1461.22640463056,1692.23509117094
"1103",2033,151054,3482.002283,0.0230513742304077,1487.91057639886,1730.44296937616
"1103",2034,151530,3622.754845,0.0239078390087771,1517.48032150974,1768.70080377436
"1103",2035,152002,3768.570045,0.0247928977579242,1550.75532817048,1808.86932153253
"1103",2036,152467,3921.794296,0.0257222500344337,1588.2786459186,1851.63925456547
"1103",2037,152915,4052.308078,0.0265003961547265,1626.20593790535,1888.93841542506
"1103",2038,153336,4200.593565,0.0273946989943653,1669.84218454195,1931.53124462173
"1103",2039,153730,4340.225153,0.0282327792428283,1715.59970142622,1972.29736412974
"1103",2040,154101,4481.119678,0.029079108363995,1764.98326566107,2013.97322505771
"1103",2041,154446,4626.038556,0.0299524659492638,1818.64378474921,2057.38684490447
"1103",2042,154769,4744.463879,0.0306551304137133,1870.52059101662,2093.60084430945
"1103",2043,155069,4880.771161,0.031474834821918,1929.36801031315,2135.58374279748
"1103",2044,155349,5018.3405,0.0323036549961699,1992.12936174884,2178.55401515979
"1103",2045,155608,5151.418055,0.0331050977777492,2057.48632208666,2220.75239641436
"1103",2046,155847,5285.62194,0.0339154551579434,2126.82564806095,2263.91252713053
"1103",2047,156067,5406.25349,0.0346405933989889,2196.08074810523,2303.33042040026
"1103",2048,156268,5530.449745,0.0353908013476847,2269.84727481166,2344.42948628288
"1103",2049,156451,5660.183414,0.0361786336552659,2349.02356807591,2387.94656423471
"1103",2050,156617,5789.803957,0.0369679150858464,2432.08113114028,2432.08113114028
"1106",2026,38292,791.406288,0.0206676665622062,418.464076191905,458.640761919049
"1106",2027,38483,815.491614,0.0211909574097653,421.181782960341,466.23114880248
"1106",2028,38669,846.068694,0.021879766583051,424.778570675428,475.591832431016
"1106",2029,38851,874.032086,0.0224970293171347,428.943263950721,484.32124212104
"1106",2030,39028,906.648182,0.0232307108229989,434.098354767504,494.393419070015
"1106",2031,39202,942.2123,0.0240348017958267,440.278456869923,505.403328243212
"1106",2032,39371,970.794183,0.0246575952604709,446.675327086648,514.539467958916
"1106",2033,39535,1010.458204,0.0255585735171367,454.947828402741,526.959526628251
"1106",2034,39696,1043.159848,0.0262787144296655,463.400158204102,537.500395510256
"1106",2035,39853,1081.544707,0.0271383511153489,473.439710478246,549.862195378848
"1106",2036,40008,1119.994303,0.0279942587232553,484.502162290537,562.425604822183
"1106",2037,40158,1150.329328,0.0286450851138005,495.29430740494,572.623038838906
"1106",2038,40302,1189.929557,0.0295253227383256,508.512513424507,585.840933499104
"1106",2039,40440,1227.351021,0.0303499263353116,522.416685845654,598.539039737284
"1106",2040,40570,1264.874445,0.0311775806014296,537.390918208514,611.425469133623
"1106",2041,40694,1300.128848,0.0319489076522337,552.94109696907,623.722410519352
"1106",2042,40812,1330.560981,0.032602199867686,568.369562317358,634.527946167654
"1106",2043,40923,1365.169562,0.0333594692959949,585.744180505249,646.873465091864
"1106",2044,41029,1400.878372,0.0341436148090375,604.465134165846,659.761463439801
"1106",2045,41129,1434.823634,0.0348859353254395,623.778366274012,672.188758491092
"1106",2046,41223,1467.61986,0.0356019663779929,643.800078984148,684.353034098998
"1106",2047,41312,1498.318492,0.0362683600890782,664.180948125527,695.894026056932
"1106",2048,41395,1529.960223,0.0369600247131296,685.871148291939,707.914754910204
"1106",2049,41472,1567.693612,0.0378012541473765,710.829197009765,722.393970919236
"1106",2050,41545,1602.724527,0.0385780365146227,736.058166213729,736.058166213729
"1108",2026,84545,1300.331459,0.0153803472588562,691.181817480313,782.818174803131
"1108",2027,85301,1357.999476,0.0159200885804387,697.25137478608,799.191816626038
"1108",2028,86039,1416.836845,0.016467379269866,704.591367981521,815.807817037262
"1108",2029,86762,1480.631594,0.0170654387174108,713.403813263703,833.48853300566
"1108",2030,87468,1547.932586,0.0176971302190515,723.738485577697,851.953942310788
"1108",2031,88158,1622.652999,0.0184061911454434,735.937613681201,872.087351934612
"1108",2032,88833,1697.49987,0.0191088882509878,749.694282248867,892.367022304206
"1108",2033,89492,1774.876881,0.0198327993675412,765.218092748883,913.325773100368
"1108",2034,90140,1854.578157,0.0205744193143998,782.589557068838,934.973892672096
"1108",2035,90779,1931.607873,0.0212781356150652,801.399215446706,956.198206735328
"1108",2036,91408,2015.008484,0.0220441152196744,822.588260475272,979.080548368994
"1108",2037,92023,2097.577348,0.0227940552687915,845.491569194516,1001.95915940393
"1108",2038,92618,2179.703969,0.0235343450409208,870.13895322931,1024.88900587147
"1108",2039,93194,2263.181175,0.0242846232053566,896.797867215744,1048.3155186651
"1108",2040,93750,2347.666418,0.0250417751253333,925.48058447236,1072.16893515578
"1108",2041,94287,2428.760938,0.0257592344437727,955.510075543525,1095.35483100909
"1108",2042,94803,2513.726099,0.0265152590002426,988.091067534187,1119.70152504884
"1108",2043,95299,2595.889719,0.0272394224388504,1022.10748827667,1143.51862817175
"1108",2044,95772,2679.114279,0.0279738783673725,1058.26459679819,1167.7930281267
"1108",2045,96221,2771.431556,0.0288027723262074,1098.39750961582,1194.72001183485
"1108",2046,96646,2850.110384,0.029490205326656,1137.59038478155,1218.16515856653
"1108",2047,97046,2937.773412,0.0302719680563856,1180.91946252369,1244.28953523796
"1108",2048,97420,3021.583609,0.031016050184767,1225.42478500505,1269.5673351406
"1108",2049,97769,3109.877069,0.0318084164612505,1273.2993645523,1296.37596317122
"1108",2050,98092,3198.470042,0.0326068389063328,1323.55825631488,1323.55825631488
"1111",2026,3144,90.60606,0.0288187213740458,62.2854785527186,73.8547855271861
"1111",2027,3131,92.739239,0.0296196866815714,62.9041660412937,74.848480300318
"1111",2028,3118,94.956035,0.0304541484926235,63.6092147345739,75.9097984832793
"1111",2029,3105,98.395424,0.0316893475040258,64.5407089755778,77.6621598850718
"1111",2030,3092,101.75629,0.0329095375161708,65.6068795499459,79.4275181997837
"1111",2031,3078,106.065162,0.0344591169590643,66.9776967487625,81.7919886913478
"1111",2032,3065,109.107841,0.0355979905383361,68.3123650625941,83.4995848079819
"1111",2033,3052,113.570281,0.0372117565530799,70.1099059021875,86.1307749025862
"1111",2034,3040,117.570484,0.0386745013157895,72.0318391731922,88.5795979329805
"1111",2035,3029,120.271345,0.0397066176956091,73.8069124215195,90.2729426777587
"1111",2036,3018,127.114868,0.0421189092113983,77.0622446734205,94.8152519440432
"1111",2037,3008,129.748073,0.0431343327792553,79.256333401961,96.6221139550458
"1111",2038,2998,134.038937,0.0447094519679787,82.2708951486784,99.6743548157789
"1111",2039,2989,138.203637,0.0462374161927066,85.5283104037154,102.750315580792
"1111",2040,2979,141.766042,0.04758846659953,88.7975071732392,105.476011477183
"1111",2041,2970,145.312582,0.0489267952861953,92.3224338956915,108.279145502931
"1111",2042,2960,147.840515,0.0499461199324324,95.5422455462904,110.346065066129
"1111",2043,2950,151.356512,0.0513072922033898,99.5672639602204,113.294595200299
"1111",2044,2939,153.660883,0.0522833899285471,103.087408865725,115.306334020291
"1111",2045,2928,156.123711,0.0533209395491803,106.914289131113,117.509894315216
"1111",2046,2917,157.807001,0.0540990747343161,110.365214551416,119.076723001666
"1111",2047,2905,160.67223,0.0553088571428571,114.928677105803,121.764706598088
"1111",2048,2893,161.715692,0.0558989602488766,118.198324093032,122.836026046521
"1111",2049,2880,163.381742,0.0567297715277778,122.14292680358,124.525118756966
"1111",2050,2867,165.962171,0.0578870495291245,127.138936303609,127.138936303609
"1112",2026,3238,82.443527,0.0254612498455837,65.1569743182795,48.5697431827945
"1112",2027,3248,86.05502,0.0264947721674877,64.639529652219,49.8329429252292
"1112",2028,3257,88.68898,0.0272302671169788,64.161660868168,50.780919246674
