"år","kommunenr_2024","observert","predikert"
2025,"4647",278,296.036790887705
2025,"4648",90,83.277872241591
2025,"4649",133,151.960812561796
2025,"4650",92,90.4191271494033
2025,"4651",99,103.376816152829
2025,"5001",2142,2403.51995263278
2025,"5006",379,387.159681880726
2025,"5007",219,282.229590621325
2025,"5014",91,87.5027998518398
2025,"5020",21,22.6242630948782
2025,"5021",123,130.915407547569
2025,"5022",41,46.3224743888403
2025,"5025",80,83.5491482745566
2025,"5026",35,40.138575651566
2025,"5027",98,105.154366150503
2025,"5028",199,194.590312332527
2025,"5029",71,69.8918110732931
2025,"5031",116,131.999584623236
2025,"5032",49,57.7377006142277
2025,"5033",13,15.137600255214
2025,"5034",32,47.638007123178
2025,"5035",373,364.981724217293
2025,"5036",44,43.4746265495936
2025,"5037",220,260.367255833573
2025,"5038",144,160.049514787499
2025,"5041",22,32.351342051856
2025,"5042",17,31.3386172422856
2025,"5043",19,23.1171426003757
2025,"5044",13,17.0085310830224
2025,"5045",46,49.5033564089291
2025,"5046",42,38.2505668815166
2025,"5047",47,38.8168594724127
2025,"5049",21,25.3925591119267
2025,"5052",10,9.97604362878975
2025,"5053",77,110.815452941324
2025,"5054",130,145.336233076132
2025,"5055",104,100.957526483669
2025,"5056",60,108.206462900881
2025,"5057",92,113.361949978374
2025,"5058",107,115.201685042032
2025,"5059",249,276.243274963727
2025,"5060",169,219.611646927188
2025,"5061",31,38.1672567081767
2025,"5501",763,808.561877809632
2025,"5503",343,340.605276930734
2025,"5510",52,70.9789814264472
2025,"5512",79,91.0459923401178
2025,"5514",26,41.7682555816223
2025,"5518",18,17.3623146049495
2025,"5520",50,52.9897105525595
2025,"5522",24,23.2343375736947
2025,"5524",99,102.498289759914
2025,"5526",30,34.8704067298618
2025,"5528",22,27.0322754123464
2025,"5530",276,276.131985439182
2025,"5532",110,129.928421447755
2025,"5534",51,70.9853106813446
2025,"5536",77,83.6254693890954
2025,"5538",21,24.9742439625135
2025,"5540",32,34.852359018636
2025,"5542",65,55.4961033378845
2025,"5544",61,76.093360276966
2025,"5546",22,26.5789288011341
2025,"5601",280,306.529669339466
2025,"5603",152,145.848932157639
2025,"5605",112,120.656974401835
2025,"5607",80,77.4798987416781
2025,"5610",25,41.6142206327712
2025,"5612",29,33.3966461851491
2025,"5614",20,27.1668575118868
2025,"5616",18,29.2241907451208
2025,"5618",22,33.3395948622433
2025,"5620",32,32.7870368197102
2025,"5622",77,94.7226240837856
2025,"5624",11,13.600771097705
2025,"5626",10,22.8713278858756
2025,"5628",49,58.6176702215378
2025,"5630",8,11.7827222538918
2025,"5632",33,33.630048344646
2025,"5634",18,41.2472834494298
2025,"5636",14,22.3210369536777
2013,"0301",5671,5481.87535649925
2013,"1101",204,176.502698044177
