"kommunenr_2024","år","timer","kilder"
"1122",2019,147219,"1122"
"1122",2020,154210,"1122"
"1122",2021,160013,"1122"
"1122",2022,164014,"1122"
"1122",2023,175730,"1122"
"1122",2024,181476,"1122"
"1122",2025,176701,"1122"
"1124",2009,36292,"1124"
"1124",2010,41852,"1124"
"1124",2011,48497,"1124"
"1124",2012,63710,"1124"
"1124",2013,71642,"1124"
"1124",2014,77851,"1124"
"1124",2015,82711,"1124"
"1124",2016,88341,"1124"
"1124",2017,100367,"1124"
"1124",2018,103091,"1124"
"1124",2019,142882,"1124"
"1124",2020,163331,"1124"
"1124",2021,169764,"1124"
"1124",2022,197844,"1124"
"1124",2023,258931,"1124"
"1124",2024,339117,"1124"
"1124",2025,383498,"1124"
"1127",2009,75160,"1127"
"1127",2010,93249,"1127"
"1127",2011,85077,"1127"
"1127",2012,84088,"1127"
"1127",2013,99371,"1127"
"1127",2014,89496,"1127"
"1127",2015,86068,"1127"
"1127",2016,63168,"1127"
"1127",2017,78797,"1127"
"1127",2018,76013,"1127"
"1127",2019,72141,"1127"
"1127",2020,85055,"1127"
"1127",2021,86156,"1127"
"1127",2022,74359,"1127"
"1127",2023,75376,"1127"
"1127",2024,74471,"1127"
"1127",2025,82496,"1127"
"1130",2009,132712,"1130"
"1130",2010,216174,"1130"
"1130",2011,233654,"1130"
"1130",2012,245283,"1130"
"1130",2013,258575,"1130"
"1130",2014,274576,"1130"
"1130",2015,250408,"1130"
"1130",2016,240801,"1130"
"1130",2017,214928,"1130"
"1130",2018,189035,"1130"
"1130",2019,179377,"1130"
"1130",2020,201441,"1130"
"1130",2021,198618,"1130"
"1130",2022,219272,"1130"
"1130",2023,188937,"1130"
"1130",2024,185133,"1130"
"1130",2025,205362,"1130"
"1133",2009,7232,"1133"
"1133",2010,6928,"1133"
"1133",2011,8046,"1133"
"1133",2012,6973,"1133"
"1133",2013,8018,"1133"
"1133",2014,11056,"1133"
"1133",2015,10261,"1133"
"1133",2016,9588,"1133"
"1133",2017,9969,"1133"
"1133",2018,12272,"1133"
"1133",2019,12110,"1133"
"1133",2020,12747,"1133"
"1133",2021,12655,"1133"
"1133",2022,15339,"1133"
"1133",2023,20506,"1133"
"1133",2024,17117,"1133"
"1133",2025,16906,"1133"
"1134",2009,20473,"1134"
"1134",2010,36279,"1134"
"1134",2011,37302,"1134"
"1134",2012,36727,"1134"
"1134",2013,47132,"1134"
"1134",2014,43876,"1134"
"1134",2015,41278,"1134"
"1134",2016,37759,"1134"
"1134",2017,40493,"1134"
"1134",2018,41003,"1134"
"1134",2019,34950,"1134"
"1134",2020,35931,"1134"
"1134",2021,34748,"1134"
"1134",2022,39971,"1134"
"1134",2023,45703,"1134"
"1134",2024,44089,"1134"
"1134",2025,35942,"1134"
"1135",2009,94734,"1135"
"1135",2010,87816,"1135"
"1135",2011,84781,"1135"
"1135",2012,123539,"1135"
"1135",2013,148164,"1135"
"1135",2014,169979,"1135"
"1135",2015,155525,"1135"
"1135",2016,139304,"1135"
"1135",2017,144422,"1135"
"1135",2018,112050,"1135"
"1135",2019,94298,"1135"
"1135",2020,70735,"1135"
"1135",2021,51776,"1135"
"1135",2022,29661,"1135"
"1135",2023,22332,"1135"
"1135",2024,20045,"1135"
"1135",2025,18942,"1135"
"1144",2009,1084,"1144"
"1144",2010,0,"1144"
"1144",2011,367,"1144"
"1144",2012,308,"1144"
"1144",2013,104,"1144"
"1144",2014,1271,"1144"
"1144",2015,1886,"1144"
"1144",2016,2080,"1144"
"1144",2017,1478,"1144"
"1144",2018,1123,"1144"
"1144",2019,739,"1144"
"1144",2020,497,"1144"
"1144",2021,353,"1144"
"1144",2022,425,"1144"
"1144",2023,4772,"1144"
"1144",2024,4381,"1144"
"1144",2025,3955,"1144"
"1145",2009,1428,"1145"
"1145",2010,3847,"1145"
"1145",2011,3196,"1145"
"1145",2012,4017,"1145"
"1145",2013,2617,"1145"
"1145",2014,2084,"1145"
"1145",2015,2389,"1145"
"1145",2016,2591,"1145"
"1145",2017,2589,"1145"
"1145",2018,3169,"1145"
"1145",2019,2480,"1145"
"1145",2020,3710,"1145"
"1145",2021,3462,"1145"
"1145",2022,3041,"1145"
"1145",2023,3127,"1145"
"1145",2024,3219,"1145"
"1145",2025,2889,"1145"
"1146",2009,28905,"1146"
"1146",2010,38381,"1146"
"1146",2011,48816,"1146"
"1146",2012,46656,"1146"
"1146",2013,39470,"1146"
"1146",2014,42495,"1146"
"1146",2015,39485,"1146"
"1146",2016,33400,"1146"
"1146",2017,43634,"1146"
"1146",2018,59719,"1146"
"1146",2019,58947,"1146"
"1146",2020,54881,"1146"
"1146",2021,51824,"1146"
"1146",2022,71859,"1146"
"1146",2023,85491,"1146"
"1146",2024,82432,"1146"
"1146",2025,79294,"1146"
"1149",2009,303959,"1149"
"1149",2010,287239,"1149"
"1149",2011,282038,"1149"
