"år","kommunenr_2024","observert","predikert"
2024,"3107",2982,2970.99802848327
2024,"3110",254,226.093941039902
2024,"3112",358,372.612164349901
2024,"3114",365,321.305897646851
2024,"3116",225,198.639270574257
2024,"3118",1926,2258.24381918024
2024,"3120",667,639.14384689584
2024,"3122",152,229.072832814099
2024,"3124",82,68.6954653854014
2024,"3201",4545,4524.6472956219
2024,"3203",3330,3384.50089196907
2024,"3205",2621,2836.01823139611
2024,"3207",2495,2077.59215485679
2024,"3209",954,1025.37503070901
2024,"3212",1129,886.727915516842
2024,"3214",603,587.354889922226
2024,"3216",725,825.042237301417
2024,"3218",847,713.569531987402
2024,"3220",436,410.093488380889
2024,"3222",1246,1312.85832600937
2024,"3224",543,676.801325909915
2024,"3226",715,680.253411653264
2024,"3228",982,1029.62102597798
2024,"3230",160,305.263233280923
2024,"3232",812,787.566698154996
2024,"3234",237,312.062346475361
2024,"3236",237,241.584224781778
2024,"3238",541,634.134682180113
2024,"3240",1068,1036.92744279403
2024,"3242",129,138.487465338525
2024,"3301",3961,4145.58582565729
2024,"3303",1009,947.448098014877
2024,"3305",1557,1503.27651332602
2024,"3310",264,271.037894285619
2024,"3312",852,880.892294019279
2024,"3314",687,676.404313872289
2024,"3316",725,732.509114462615
2024,"3318",133,126.218822738636
2024,"3320",67,71.0437510159497
2024,"3322",176,201.488498462976
2024,"3324",255,246.890949926207
2024,"3326",77,84.3911923661042
2024,"3328",166,211.30328003773
2024,"3330",245,229.800188841177
2024,"3332",187,233.662074611193
2024,"3334",96,152.932351243208
2024,"3336",123,130.546325834994
2024,"3338",161,166.560332189426
2024,"3401",1032,1054.72272604825
2024,"3403",1487,1516.12583548009
2024,"3405",1378,1447.61659686607
2024,"3407",2001,2113.65694554488
2024,"3411",1793,1820.44152076165
2024,"3412",396,429.306583613875
2024,"3413",1672,1411.9404674557
2024,"3414",297,315.2701417182
2024,"3415",696,640.204914337432
2024,"3416",604,608.340736363025
2024,"3417",402,371.645791617381
2024,"3418",699,564.539176293392
2024,"3419",300,288.69323512769
2024,"3420",902,861.134491241813
2024,"3421",330,299.40283843478
2024,"3422",215,216.841588981786
2024,"3423",221,234.209497283756
2024,"3424",104,118.37380833013
2024,"3425",62,61.1165269924364
2024,"3426",82,99.5807638624748
2024,"3427",277,293.143458857438
2024,"3428",148,132.276346571581
2024,"3429",153,123.504342786322
2024,"3430",96,72.9469669020427
2024,"3431",173,191.700767784408
2024,"3432",135,123.677534732577
2024,"3433",169,174.075712655983
2024,"3434",130,138.424558433687
2024,"3435",216,246.790494042813
2024,"3436",312,337.305363158249
2024,"3437",408,449.562454868425
2024,"3438",172,191.024910046094
2024,"3439",341,369.894704180406
2024,"3440",396,350.746643875327
2024,"3441",337,349.080818106304
2024,"3442",623,600.611339784196
2024,"3443",801,739.369570422283
2024,"3446",467,468.534289741638
2024,"3447",448,461.807089308891
2024,"3448",483,502.096958747404
2024,"3449",249,232.122795791276
2024,"3450",79,90.6090979226038
2024,"3451",314,296.498599805768
2024,"3452",114,124.594756960438
2024,"3453",114,134.217234176892
2024,"3454",80,101.914180896591
2024,"3901",891,968.923767273518
2024,"3903",1134,1052.88029304534
2024,"3905",1817,2100.09403508842
2024,"3907",2943,3094.80502391572
2024,"3909",1945,1982.6556708505
2024,"3911",1651,1693.6460678107
2024,"4001",1407,1430.36849321144
2024,"4003",2103,2160.54222014778
2024,"4005",671,731.179837096886
2024,"4010",137,135.058982171119
2024,"4012",657,662.296641318063
2024,"4014",592,605.542673945308
2024,"4016",284,263.782454860999
2024,"4018",507,461.902410361338
2024,"4020",451,493.528179034197
2024,"4022",183,165.222075378019
2024,"4024",98,103.870342741836
2024,"4026",321,316.256052639176
2024,"4028",176,174.453878781781
2024,"4030",83,109.448052614628
2024,"4032",92,90.9063217140794
2024,"4034",144,164.221988673022
2024,"4036",417,308.923668487231
2024,"4201",369,396.479739999186
2024,"4202",1226,1219.79325525595
2024,"4203",1874,1946.20618179405
2024,"4204",4193,4434.29645024911
2024,"4205",1087,1172.04360274839
2024,"4206",660,693.940951710684
2024,"4207",488,476.849626972836
2024,"4211",187,161.683023099129
2024,"4212",123,128.084897209273
2024,"4213",391,406.04710032436
2024,"4214",281,319.983649721867
2024,"4215",529,514.670155350811
2024,"4216",294,298.028246403636
2024,"4217",132,131.879646836366
2024,"4218",56,65.5675897794228
2024,"4219",203,222.961589602625
2024,"4220",67,77.8039846634705
2024,"4221",66,61.8174889943064
2024,"4222",43,36.64941004836
2024,"4223",693,810.50565181838
2024,"4224",60,54.5757016354904
2024,"4225",472,467.238551144925
2024,"4226",77,99.9858772691664
2024,"4227",289,305.291326166062
2024,"4228",96,99.2471517059803
2024,"4601",9031,8970.26948336242
