"år","kommunenr_2024","observert","predikert"
2024,"0301",3.5,3.39132608105563
2024,"1101",9,8.66563313881999
2024,"1103",4.7,4.74016659346748
2024,"1106",9.5,8.63808657420345
2024,"1108",3.1,4.25561052846211
2024,"1111",2.8,3.92792602102381
2024,"1112",7.4,4.73217779238111
2024,"1114",3,2.933639311084
2024,"1119",8,7.62066536321973
2024,"1120",4,6.54029822505372
2024,"1121",8.5,7.45143717854908
2024,"1122",8.7,8.63552358076561
2024,"1124",8.8,4.72099806667428
2024,"1127",5,6.34040305996185
2024,"1130",9.9,10.5900622594158
2024,"1133",3.8,2.67412146939524
2024,"1134",4.7,4.39963755023771
2024,"1135",2.4,9.2721886905257
2024,"1144",4,2.18122068109742
2024,"1145",2.8,3.01995476360697
2024,"1146",6.5,4.72928436366416
2024,"1149",2.9,4.9761824036915
2024,"1160",3.2,4.01749707794322
2024,"1505",5.1,5.45268051523289
2024,"1506",2,3.51292364919785
2024,"1508",2.5,3.79685205225704
2024,"1511",3.4,3.97016375273629
2024,"1514",6.2,4.79921747003879
2024,"1515",2.4,2.68975686592891
2024,"1516",4.2,4.75415411505203
2024,"1517",1.8,4.48736118679742
2024,"1520",4,4.2748929996816
2024,"1525",13.1,11.0503058201727
2024,"1528",6.2,9.01084197132908
2024,"1531",9.2,7.5336844777572
2024,"1532",7.9,8.96827711042415
2024,"1535",11.1,7.06453615740249
2024,"1539",3.7,4.3929570309666
2024,"1547",5.4,4.18321344968346
2024,"1554",1.2,2.13001049201153
2024,"1557",4.2,3.85829086583163
2024,"1560",5.3,4.37858988912912
2024,"1563",7.5,5.66224315003166
2024,"1566",1.6,2.38561294378329
2024,"1573",1.9,3.72448805907363
2024,"1576",5.8,5.14842796135585
2024,"1577",7,5.49785445950688
2024,"1578",2.6,2.97938198556308
2024,"1579",1.6,2.30526470330241
2024,"1580",4.6,4.48135234755469
2024,"1804",4,4.33564831974752
2024,"1806",5.1,4.98034937016564
2024,"1811",4.5,4.38351153663098
2024,"1812",3,2.44948923879645
2024,"1813",4.3,5.14094328536343
2024,"1815",2.3,2.93446940935363
2024,"1816",1.6,3.47067180919422
2024,"1818",8,7.12447769805289
2024,"1820",2.5,3.77662835543917
2024,"1822",2.3,2.39189566777965
2024,"1824",7.3,5.60157404028218
2024,"1825",1.8,2.20891432636681
2024,"1826",8.1,8.7200911287697
2024,"1827",3.2,5.50077531878248
2024,"1828",4.2,3.28710195042506
2024,"1832",8,4.43175056331076
2024,"1833",6.1,5.14469671125871
2024,"1834",10,13.3344978216941
2024,"1835",1.3,2.07843427268997
2024,"1836",5.9,4.34775260954672
2024,"1837",3.8,4.29069620441361
2024,"1838",3.5,5.19483022977917
2024,"1839",3.7,3.50294108174481
2024,"1840",2.6,3.64132864224607
2024,"1841",2.9,3.99796180372546
2024,"1845",2.7,2.9627834743678
2024,"1848",3.9,3.11735395888609
2024,"1851",15.1,12.9906877037474
2024,"1853",3,3.09035561665115
2024,"1856",0.7,1.81987409561472
2024,"1857",2.4,5.20503578824385
2024,"1859",12.6,5.3904626435615
2024,"1860",2.6,6.59825113343226
2024,"1865",9.1,6.95405905206283
2024,"1866",2.1,3.47969712240756
2024,"1867",3.5,2.88870826957892
2024,"1868",6.3,5.23555487855791
2024,"1870",6,6.73623806154643
2024,"1871",5.4,4.28010742272676
2024,"1874",4.8,4.23696575698923
2024,"1875",2.9,2.77184492760789
2024,"3101",4,3.82150698982413
2024,"3103",7.4,4.5149493757659
2024,"3105",3.7,3.86967711277788
2024,"3107",4.6,4.10012803891283
2024,"3110",6.3,4.61512565365347
2024,"3112",5.7,4.91227877484163
2024,"3114",2.6,2.76585778144518
2024,"3116",5.3,4.60173412594543
2024,"3118",6.9,5.32099905700992
2024,"3120",2.7,3.72697814374587
2024,"3122",1.4,2.3988468284195
2024,"3124",11.6,7.72072108814313
2024,"3201",7.9,6.11934067511069
2024,"3203",6.9,6.59112195326578
2024,"3205",4.8,4.69002854062055
2024,"3207",5.4,3.78643373291753
2024,"3209",3.6,3.27637266642781
2024,"3212",1.8,2.84462244600471
2024,"3214",2.1,2.52528035132773
2024,"3216",3.3,2.94015267676426
2024,"3218",1.6,2.50610780862202
2024,"3220",1.8,2.35526239445017
2024,"3222",4.1,3.0090868627509
2024,"3224",3.5,2.98556446204902
2024,"3226",2.6,2.67548398911594
2024,"3228",2.8,3.28719331502273
2024,"3230",3.3,3.06880132295964
2024,"3232",4.3,4.58228670699659
2024,"3234",8.4,4.85778152187439
2024,"3236",2.7,3.1296597987325
2024,"3238",2.6,2.70603320715147
2024,"3240",3.3,4.07568403871811
2024,"3242",2.9,4.265977913513
2024,"3301",5.4,4.21544549493183
2024,"3303",7.3,7.41193986257252
2024,"3305",4.1,6.95524597657301
2024,"3310",2.6,6.71404976601494
2024,"3312",4.9,4.88077316759607
2024,"3314",4.8,4.82177085024794
2024,"3316",6.8,4.42948033680878
2024,"3318",1.9,2.54390080499293
2024,"3320",2.4,2.93164467300665
2024,"3322",7.5,7.86051939986904
