"år","kommunenr_2024","observert","predikert"
2024,"0301",17875,18815.3097463755
2024,"1101",675,769.876044232698
2024,"1103",5073,4654.19915161966
2024,"1106",1248,1218.99835512528
2024,"1108",2138,2500.915985456
2024,"1111",172,172.209163497101
2024,"1112",204,138.731645618853
2024,"1114",147,122.044358774021
2024,"1119",642,664.529740122002
2024,"1120",803,693.965493938995
2024,"1121",616,657.950949000538
2024,"1122",425,373.323531048829
2024,"1124",953,767.049079963872
2024,"1127",367,402.205079906749
2024,"1130",416,515.005970335699
2024,"1133",101,116.793419503682
2024,"1134",200,210.167803728768
2024,"1135",192,254.767461027018
2024,"1144",30,29.7819256736048
2024,"1145",36,39.5274207857928
2024,"1146",315,382.138215877047
2024,"1149",1514,1579.1916618007
2024,"1151",8,6.27834353594011
2024,"1160",332,355.537243232532
2024,"1505",1090,1141.06065319761
2024,"1506",1076,1294.62027784625
2024,"1508",2489,2372.08891340755
2024,"1511",144,199.570843272353
2024,"1514",125,120.220311332171
2024,"1515",509,434.004377354702
2024,"1516",451,430.567186281952
2024,"1517",319,268.652888059145
2024,"1520",652,539.01372534315
2024,"1525",212,220.624817346134
2024,"1528",483,401.436206687
2024,"1531",480,480.473130598603
2024,"1532",263,310.206060894177
2024,"1535",288,379.644034825508
2024,"1539",245,399.151112536328
2024,"1547",201,174.095304920385
2024,"1554",374,341.217500773282
2024,"1557",110,128.564424657789
2024,"1560",142,209.291248583037
2024,"1563",321,412.015015727189
2024,"1566",281,287.674182454308
2024,"1573",128,168.871206977212
2024,"1576",358,265.952040875399
2024,"1577",569,542.765099680639
2024,"1578",125,140.999047021246
2024,"1579",570,656.826626094524
2024,"1580",460,457.89882666914
2024,"1804",1891,2112.86033830079
2024,"1806",1310,1330.36907440092
2024,"1811",89,95.0426909748811
2024,"1812",102,124.12548778217
2024,"1813",582,549.949908940476
2024,"1815",128,98.6052106842629
2024,"1816",31,33.6570094652403
2024,"1818",101,116.004759919586
2024,"1820",369,394.489107420694
2024,"1822",158,144.401530888284
2024,"1824",701,744.351153013953
2024,"1825",123,114.424729602051
2024,"1826",83,93.4198950070087
2024,"1827",103,84.001826239098
2024,"1828",85,87.4676886895618
2024,"1832",241,285.960603435892
2024,"1833",1144,1202.22923071648
2024,"1834",179,140.165750935374
2024,"1835",16,18.7296078641828
2024,"1836",98,73.3612954724997
2024,"1837",481,447.729517270138
2024,"1838",182,149.535224981253
2024,"1839",86,102.947243141043
2024,"1840",286,330.970398587738
2024,"1841",429,490.164143770041
2024,"1845",95,97.9271605078718
2024,"1848",183,163.530520413251
2024,"1851",126,127.41724963853
2024,"1853",84,97.1402499496925
2024,"1856",37,37.5801675210042
2024,"1857",44,30.2941035880322
2024,"1859",54,64.6395826059777
2024,"1860",666,532.682085297091
2024,"1865",432,440.104195870216
2024,"1866",476,440.224528549173
2024,"1867",161,201.759736751067
2024,"1868",281,320.999622826992
2024,"1870",485,740.808667403637
2024,"1871",378,330.112310558925
2024,"1874",47,70.1305950296453
2024,"1875",220,259.994091259065
2024,"3101",1116,1433.41098478145
2024,"3103",2782,2713.30569730649
2024,"3105",2524,2593.83023316995
2024,"3107",2982,3453.65835281849
2024,"3110",254,285.297337638959
2024,"3112",358,343.663260900567
2024,"3114",365,299.481327070679
2024,"3116",225,183.615911666357
2024,"3118",1926,2247.7817753182
2024,"3120",667,581.221070258787
2024,"3122",152,227.648143387598
2024,"3124",82,67.4108628807278
2024,"3201",4545,4500.44618555812
2024,"3203",3330,3359.40044927967
2024,"3205",2621,3001.61631729647
2024,"3207",2495,2103.19440458449
2024,"3209",954,1048.42443325303
2024,"3212",1129,695.068428029143
2024,"3214",603,678.850829278194
2024,"3216",725,751.097741466579
2024,"3218",847,698.464877414949
2024,"3220",436,401.528110369326
2024,"3222",1246,1374.02835808
2024,"3224",543,635.718893973215
2024,"3226",715,746.200359548623
2024,"3228",982,1019.90928603605
2024,"3230",160,290.149170777844
2024,"3232",812,804.291547744859
2024,"3234",237,347.736826530238
2024,"3236",237,298.535919288114
2024,"3238",541,641.360281175523
2024,"3240",1068,1038.20638181906
2024,"3242",129,139.121919386563
2024,"3301",3961,4540.71188297142
2024,"3303",1009,1199.43919632064
2024,"3305",1557,1499.59278036825
2024,"3310",264,318.792783320358
2024,"3312",852,992.011429010973
2024,"3314",687,784.499628312466
2024,"3316",725,701.596677511742
2024,"3318",133,125.751037517433
2024,"3320",67,67.7558455515981
2024,"3322",176,214.229189248564
2024,"3324",255,263.942023548566
2024,"3326",77,92.1480158937912
2024,"3328",166,224.989419649235
2024,"3330",245,240.246964424864
2024,"3332",187,236.765418006152
2024,"3334",96,187.833980605044
2024,"3336",123,130.727750977022
2024,"3338",161,174.17216922539
2024,"3401",1032,1015.86837175266
2024,"3403",1487,1696.4761199536
2024,"3405",1378,1338.74207889276
2024,"3407",2001,1830.39143551452
2024,"3411",1793,1640.07578282769
2024,"3412",396,454.772661915873
2024,"3413",1672,1116.90955653824
2024,"3414",297,326.696490261902
2024,"3415",696,433.610474682301
2024,"3416",604,551.084897975516
2024,"3417",402,339.305908327437
2024,"3418",699,565.074021121628
2024,"3419",300,259.201232583771
2024,"3420",902,836.156267331486
2024,"3421",330,299.660799843962
2024,"3422",215,220.691996950992
2024,"3423",221,267.15041709789
2024,"3424",104,119.012973600107
2024,"3425",62,62.2584568556422
2024,"3426",82,75.1747549161291
2024,"3427",277,304.000289791645
2024,"3428",148,122.271984042266
2024,"3429",153,103.152406675846
2024,"3430",96,90.9260650555011
2024,"3431",173,170.07502163505
2024,"3432",135,111.401784480437
2024,"3433",169,158.739032188896
2024,"3434",130,142.987759369113
2024,"3435",216,247.967994410919
2024,"3436",312,347.958361387286
2024,"3437",408,416.173980597737
2024,"3438",172,182.235415118253
2024,"3439",341,353.528367035081
2024,"3440",396,279.612984686456
2024,"3441",337,350.022007683359
2024,"3442",623,748.959578435456
2024,"3443",801,731.551948838634
2024,"3446",467,524.595648583982
2024,"3447",448,456.698189483151
2024,"3448",483,530.712883554394
2024,"3449",249,236.876556485826
2024,"3450",79,96.3898700576559
2024,"3451",314,328.103808560927
2024,"3452",114,106.318183380529
2024,"3453",114,151.698018738725
2024,"3454",80,104.311339961624
2024,"3901",891,1123.70365811597
2024,"3903",1134,1132.73733715789
2024,"3905",1817,2622.12090487556
2024,"3907",2943,3272.16509268053
2024,"3909",1945,2190.91518747832
2024,"3911",1651,1457.54169291405
2024,"4001",1407,1588.65676362404
2024,"4003",2103,2239.68572113563
2024,"4005",671,747.371990403374
2024,"4010",137,126.065142067816
2024,"4012",657,699.67907219444
2024,"4014",592,653.803572381354
2024,"4016",284,223.648864557385
2024,"4018",507,460.018019340884
2024,"4020",451,490.437883988158
2024,"4022",183,170.888404328901
2024,"4024",98,103.476000478503
2024,"4026",321,316.050613259601
2024,"4028",176,149.760265206474
2024,"4030",83,94.1242858085296
2024,"4032",92,80.8261272636654
2024,"4034",144,163.790110114919
2024,"4036",417,291.015712221509
2024,"4201",369,422.637981461774
2024,"4202",1226,1132.36534677379
2024,"4203",1874,2116.19921206243
2024,"4204",4193,4863.72285387007
2024,"4205",1087,1122.73050274464
2024,"4206",660,576.59855561713
2024,"4207",488,480.619083400028
2024,"4211",187,166.343030120601
2024,"4212",123,122.949192608607
2024,"4213",391,419.830165193589
2024,"4214",281,307.254968868044
2024,"4215",529,571.889954443706
2024,"4216",294,280.119970770844
2024,"4217",132,179.815787104164
2024,"4218",56,65.7180113396825
2024,"4219",203,221.230116235732
2024,"4220",67,77.2330653389343
2024,"4221",66,61.7530190571502
2024,"4222",43,34.2246065299024
2024,"4223",693,845.182718887022
2024,"4224",60,54.824718749634
2024,"4225",472,450.945690588903
2024,"4226",77,101.944485153791
2024,"4227",289,333.648075134485
2024,"4228",96,86.6986121702007
2024,"4601",9031,9332.60757396188
2024,"4602",852,867.128372599004
2024,"4611",184,180.550960084852
2024,"4612",248,218.992770275411
2024,"4613",416,509.24479724031
2024,"4614",738,773.099556544634
2024,"4615",167,142.75793219395
2024,"4616",155,190.577492330915
2024,"4617",585,662.817679477157
2024,"4618",817,634.031461562817
