"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y1_predikert","y1_predikert_modell"
"1119",2033,20109,490.817927,0.0244078734397533,686.225891955247,809.726598497232
"1119",2034,20204,514.094514,0.0254451848148881,704.287670442867,836.719176107167
"1119",2035,20300,534.774903,0.0263435912807882,723.358182884942,861.39013230844
"1119",2036,20398,554.943013,0.0272057561035396,744.243373984119,885.986050492882
"1119",2037,20494,574.461949,0.0280307382160632,766.807067699595,910.25769307238
"1119",2038,20589,596.097563,0.0289522348341347,792.866008421179,937.574560765779
"1119",2039,20682,620.409953,0.0299975801663282,823.293383383745,968.839801504246
"1119",2040,20772,640.099095,0.0308154773252455,852.774360739534,994.838977183254
"1119",2041,20858,657.558303,0.0315254723846965,882.551652051131,1018.34211630359
"1119",2042,20942,677.304565,0.0323419236462611,916.503748969669,1045.29106995667
"1119",2043,21022,697.976635,0.0332021993625725,953.778774548736,1074.00511803218
"1119",2044,21098,719.522892,0.0341038435870699,994.602166983477,1104.51892513997
"1119",2045,21170,736.971817,0.0348120839395371,1033.41409208249,1129.7404210246
"1119",2046,21236,752.770414,0.0354478439442456,1072.39378891109,1152.93386930717
"1119",2047,21298,771.386956,0.0362187508686262,1117.15574144342,1180.68252557005
"1119",2048,21356,785.568185,0.0367844252200787,1158.20288927957,1202.16528570765
"1119",2049,21408,806.76272,0.0376851046337818,1211.62772565464,1234.83400068014
"1119",2050,21457,825.652195,0.0384793864473132,1264.5584471456,1264.5584471456
"1120",2026,20591,349.683849,0.0169823636054587,786.864187207567,830.64187207567
"1120",2027,20735,364.97502,0.0176018818422956,791.431955632906,850.59604096659
"1120",2028,20875,383.340048,0.0183635951137725,798.131319831533,874.178970465905
"1120",2029,21013,403.290817,0.0191924435825441,807.058796553134,899.923748485337
"1120",2030,21150,424.754443,0.0200829523877069,818.472595203271,927.890380813084
"1120",2031,21285,439.4754,0.0206471881606765,829.778137838997,948.184827266076
"1120",2032,21419,458.783087,0.0214194447453196,844.500659772448,974.309722376764
"1120",2033,21553,477.039373,0.0221333166148564,860.856193328282,999.534326422847
"1120",2034,21686,497.154313,0.0229251274093885,880.1961969099,1027.49049227475
"1120",2035,21820,517.307934,0.0237079713107241,901.866646512928,1055.98090631526
"1120",2036,21955,535.536121,0.0243924445912093,924.682319411774,1082.38383034058
"1120",2037,22088,552.960668,0.0250344380659181,949.090217364477,1108.02969241849
"1120",2038,22219,570.192326,0.0256623757144786,975.439709682663,1133.70856305939
"1120",2039,22348,589.373511,0.0263725394218722,1005.49840693064,1162.42282030748
"1120",2040,22473,609.318891,0.0271133756507809,1038.62643866029,1192.60230185647
"1120",2041,22594,625.418268,0.0276807235549261,1070.57145636943,1217.57955678404
"1120",2042,22710,643.712977,0.0283449131219727,1106.82289249993,1246.03270357133
