"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"0301",2026,6198.29567926014,6194.1498719441,6208.2717523248,60
"0301",2027,6228.15817904101,6219.96113346564,6247.9801501824,60
"0301",2028,6267.16931661328,6253.27848595029,6301.3553476297,60
"0301",2029,6316.58422571802,6294.88994367103,6370.7260547733,60
"0301",2030,6378.14437085469,6345.99549385573,6459.3752010919,60
"0301",2031,6449.91579446107,6405.14307644159,6564.21582200933,60
"0301",2032,6533.60455490162,6473.47181996933,6689.65640567767,60
"0301",2033,6627.01354458975,6549.34382160564,6830.51850824791,60
"0301",2034,6731.8683210425,6633.96011132957,6986.19504142375,60
"0301",2035,6849.31614864431,6728.06949852333,7162.36327412873,60
"0301",2036,6976.69832807137,6829.68645209894,7354.81317162115,60
"0301",2037,7117.21214572829,6940.90872364259,7569.587959954,60
"0301",2038,7263.80024613198,7056.6075449654,7794.87519325506,60
"0301",2039,7418.88149409601,7178.41539658643,8035.12642938247,60
"0301",2040,7584.51361567949,7307.71320689329,8294.22175049441,60
"0301",2041,7759.81108632255,7443.81386977062,8571.51454578884,60
"0301",2042,7943.85708297873,7586.02236935179,8865.08388660593,60
"0301",2043,8140.47613822509,7736.92255382336,9184.15952325551,60
"0301",2044,8349.27131230233,7896.16953772251,9531.23498408113,60
"0301",2045,8573.24007544748,8065.77011039908,9908.63044382854,60
"0301",2046,8810.07565817787,8244.08822396439,10312.2923471145,60
"0301",2047,9057.42820072043,8429.48871981657,10737.9024944167,60
"0301",2048,9317.42970387503,8623.39484176557,11189.9277644941,60
"0301",2049,9595.86708731822,8829.69083450569,11680.2975506126,60
"0301",2050,9897.16923071513,9051.30196374963,12218.5691895445,60
"1101",2026,182.010106083033,181.320381319147,183.831529567964,60
"1101",2027,183.290490563774,182.197994677676,186.139161024443,60
"1101",2028,184.815001395689,183.251853724992,188.877645199548,60
"1101",2029,186.908543056518,184.70879454799,192.635425205153,60
"1101",2030,189.508271180025,186.51975170528,197.322778314045,60
"1101",2031,192.494047481146,188.598628735321,202.745655499116,60
"1101",2032,195.718667874368,190.840975112103,208.658343404767,60
"1101",2033,199.670922828467,193.581643483383,216.034384232955,60
"1101",2034,203.88791478048,196.498559334706,223.993289079587,60
"1101",2035,208.502236462193,199.683980116866,232.779184339915,60
"1101",2036,213.255186485133,202.960768659809,241.882517173756,60
