"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y5p_predikert","y5p_predikert_modell"
"0301",2026,727515,11227.042548,0.0154320427042741,3108.44651145788,2977.46511457876
"0301",2027,732102,11616.132051,0.0158668219059639,3106.22664977485,3001.01199836253
"0301",2028,736558,12043.218051,0.0163506717067767,3105.78558812205,3024.631932126
"0301",2029,740922,12515.535399,0.0168918393555597,3107.18734534521,3048.58750750687
"0301",2030,745187,13044.882753,0.0175055157336346,3110.50846532732,3073.03386130928
"0301",2031,749367,13573.781956,0.0181136638736427,3115.5712202726,3097.16076616558
"0301",2032,753420,14126.998961,0.0187504963513047,3122.40905798246,3121.18171686911
"0301",2033,757356,14666.838365,0.0193658442859105,3130.81721392781,3144.56472807671
"0301",2034,761203,15215.580934,0.0199888609661286,3140.90237481066,3167.75593702665
"0301",2035,764957,15781.541332,0.0206306254233898,3152.692167989,3190.8678125463
"0301",2036,768590,16334.719097,0.021252838440521,3165.90909380019,3213.33493431619
"0301",2037,772031,16906.62608,0.0218988953552383,3180.58750523174,3235.36586386681
"0301",2038,775235,17437.559398,0.0224932561068579,3196.07915656856,3255.87119376101
"0301",2039,778210,17953.849089,0.0230706995399699,3212.46670832504,3275.28375885114
"0301",2040,780977,18471.797761,0.0236521661470184,3229.8344812986,3293.93517007775
"0301",2041,783551,18984.801719,0.0242291844678904,3248.06775239011,3311.78151304167
"0301",2042,785947,19487.68276,0.0247951614549073,3267.06006714522,3328.80009592174
"0301",2043,788175,20002.816709,0.0253786490424081,3287.00267477434,3345.3765081686
"0301",2044,790249,20525.185091,0.0259730605049801,3307.82820970966,3361.4880125286
"0301",2045,792189,21067.232774,0.0265936951586048,3329.70560135461,3377.4068939749
"0301",2046,794016,21613.968271,0.027221073972061,3352.48448009762,3392.98174129131
"0301",2047,795750,22153.308784,0.0278395335017279,3376.02690231358,3408.10073500122
"0301",2048,797405,22694.224573,0.0284600981596554,3400.46125544295,3422.95811399238
"0301",2049,798996,23258.081917,0.0291091343598716,3426.13793327179,3437.94850210056
"0301",2050,800540,23856.755055,0.0298008282596747,3453.32749816834,3453.32749816834
"1101",2026,14615,350.137565,0.0239574112213479,100.711258731763,98.1125873176339
"1101",2027,14634,362.415007,0.0247652731310646,100.660536635888,98.5311755337298
"1101",2028,14653,373.692581,0.0255028035897086,100.637033013733,98.9259029356172
"1101",2029,14672,389.277067,0.0265319702153762,100.66598517547,99.4281655316245
"1101",2030,14690,406.170958,0.0276494865895167,100.739585136289,99.9583405451552
"1101",2031,14708,422.379831,0.0287176931601849,100.84850156392,100.473048917981
"1101",2032,14725,436.724036,0.0296586781663837,100.979319161433,100.936366650562
"1101",2033,14742,453.651201,0.0307727039072039,101.168909210757,101.465956443466
"1101",2034,14758,468.952516,0.0317761563897547,101.379996766303,101.949991915757
"1101",2035,14775,483.849235,0.0327478331641286,101.626163441934,102.43123072442
"1101",2036,14792,496.919862,0.0335938251757707,101.886944960757,102.867252548961
"1101",2037,14808,517.375208,0.0349388984332793,102.274570066175,103.486965982781
"1101",2038,14821,532.346055,0.0359183627960327,102.622481342443,103.949966077169
"1101",2039,14833,546.046121,0.0368129253016922,102.983085481113,104.375464648703
"1101",2040,14843,557.333576,0.0375485802061578,103.329725687618,104.727561100188
"1101",2041,14851,569.107999,0.0383211904248872,103.703574150467,105.080866642215
"1101",2042,14858,583.944839,0.0393017121416072,104.155972175266,105.508531678952
"1101",2043,14863,599.156002,0.0403119156294153,104.639690381397,105.935173398505
"1101",2044,14867,609.350898,0.0409868095782606,105.050049378343,106.225870165604
"1101",2045,14869,617.469062,0.0415272756742215,105.4286287162,106.4506199584
"1101",2046,14870,625.967895,0.0420960252185609,105.827760018979,106.679717669387
"1101",2047,14869,639.284993,0.0429944846997108,106.346354590613,107.02406151055
"1101",2048,14867,651.233098,0.0438039347548261,106.85276032981,107.327308464659
"1101",2049,14862,660.846633,0.0444655250302786,107.305765792495,107.551444979215
"1101",2050,14856,671.633004,0.0452095452342488,107.80131623115,107.80131623115
"1103",2026,147630,2615.613179,0.0177173554087923,683.203603075964,721.036030759638
"1103",2027,148116,2715.199783,0.0183315764873478,685.330298534856,725.038534798955
"1103",2028,148604,2824.699342,0.0190082322279346,687.790585153322,729.231915161842
"1103",2029,149098,2943.817047,0.0197441752873949,690.6089607259,733.630403415999
"1103",2030,149593,3071.548418,0.0205327015167822,693.798593569054,738.194374276217
"1103",2031,150088,3208.378752,0.0213766507115825,697.379691310295,742.929361079285
"1103",2032,150574,3339.063219,0.0221755629723591,701.268549733104,747.518614563398
"1103",2033,151054,3482.002283,0.0230513742304077,705.57498863092,752.310313464605
"1103",2034,151530,3622.754845,0.0239078390087771,710.220585967026,757.051464917565
"1103",2035,152002,3768.570045,0.0247928977579242,715.257679998145,761.874697138618
"1103",2036,152467,3921.794296,0.0257222500344337,720.709951398863,766.810423997606
"1103",2037,152915,4052.308078,0.0265003961547265,726.282233359317,771.258016310863
"1103",2038,153336,4200.593565,0.0273946989943653,732.304971197196,775.918129449448
"1103",2039,153730,4340.225153,0.0282327792428283,738.515385244143,780.302783394286
"1103",2040,154101,4481.119678,0.029079108363995,745.008535463511,784.613656741617
"1103",2041,154446,4626.038556,0.0299524659492638,751.801498468793,788.889054292518
"1103",2042,154769,4744.463879,0.0306551304137133,758.50286610117,792.575523001671
"1103",2043,155069,4880.771161,0.031474834821918,765.655469154114,796.498941225917
"1103",2044,155349,5018.3405,0.0323036549961699,773.055908957431,800.362463170878
"1103",2045,155608,5151.418055,0.0331050977777492,780.605548758889,804.052983087864
"1103",2046,155847,5285.62194,0.0339154551579434,788.378849678198,807.68099962141
"1103",2047,156067,5406.25349,0.0346405933989889,796.124810568163,810.971617541592
"1103",2048,156268,5530.449745,0.0353908013476847,804.106041243035,814.249774316795
"1103",2049,156451,5660.183414,0.0361786336552659,812.362466932856,817.558407202967
"1103",2050,156617,5789.803957,0.0369679150858464,820.794623915415,820.794623915415
"1106",2026,38292,791.406288,0.0206676665622062,273.431237018189,277.312370181894
"1106",2027,38483,815.491614,0.0211909574097653,273.856642826634,279.230129648248
"1106",2028,38669,846.068694,0.021879766583051,274.450453708086,281.288306903348
"1106",2029,38851,874.032086,0.0224970293171347,275.178488784972,283.251711929282
"1106",2030,39028,906.648182,0.0232307108229989,276.076905982016,285.307623928062
"1106",2031,39202,942.2123,0.0240348017958267,277.147087183362,287.424651072564
"1106",2032,39371,970.794183,0.0246575952604709,278.304904322173,289.322782529763
"1106",2033,39535,1010.458204,0.0255585735171367,279.701908109843,291.488022371981
"1106",2034,39696,1043.159848,0.0262787144296655,281.179137741469,293.447844353673
"1106",2035,39853,1081.544707,0.0271383511153489,282.860049122864,295.537255137975
"1106",2036,40008,1119.994303,0.0279942587232553,284.693541296733,297.617981677334
"1106",2037,40158,1150.329328,0.0286450851138005,286.553880058312,299.44659523573
"1106",2038,40302,1189.929557,0.0295253227383256,288.669802103227,301.490549278595
"1106",2039,40440,1227.351021,0.0303499263353116,290.882165792837,303.437729009084
"1106",2040,40570,1264.874445,0.0311775806014296,293.21070644354,305.337130309664
"1106",2041,40694,1300.128848,0.0319489076522337,295.615509329898,307.136617856451
"1106",2042,40812,1330.560981,0.032602199867686,298.035464886103,308.76494983729
"1106",2043,40923,1365.169562,0.0333594692959949,300.630006495802,310.464415587528
"1106",2044,41029,1400.878372,0.0341436148090375,303.351805228458,312.163619649623
"1106",2045,41129,1434.823634,0.0348859353254395,306.130653235543,313.776188597592
"1106",2046,41223,1467.61986,0.0356019663779929,308.971123556531,315.318968890036
"1106",2047,41312,1498.318492,0.0362683600890782,311.847437532291,316.771760599765
"1106",2048,41395,1529.960223,0.0369600247131296,314.822111966775,318.213094018135
"1106",2049,41472,1567.693612,0.0378012541473765,318.033977097971,319.788547634255
"1106",2050,41545,1602.724527,0.0385780365146227,321.263931902471,321.263931902471
"1108",2026,84545,1300.331459,0.0153803472588562,411.076814713155,402.768147131551
"1108",2027,85301,1357.999476,0.0159200885804387,411.336373153442,407.173622934122
"1108",2028,86039,1416.836845,0.016467379269866,411.916041694945,411.520238256831
"1108",2029,86762,1480.631594,0.0170654387174108,412.826215281139,415.888071911244
"1108",2030,87468,1547.932586,0.0176971302190515,414.060790448279,420.243161793117
"1108",2031,88158,1622.652999,0.0184061911454434,415.639586576027,424.659431568789
"1108",2032,88833,1697.49987,0.0191088882509878,417.529349464895,429.013382968906
"1108",2033,89492,1774.876881,0.0198327993675412,419.736888532015,433.343140777971
"1108",2034,90140,1854.578157,0.0205744193143998,422.267133549834,437.667833874586
"1108",2035,90779,1931.607873,0.0212781356150652,425.084613400801,441.90768777326
"1108",2036,91408,2015.008484,0.0220441152196744,428.254226013625,446.219423186579
"1108",2037,92023,2097.577348,0.0227940552687915,431.709162112042,450.456901682032
"1108",2038,92618,2179.703969,0.0235343450409208,435.430042006271,454.600076375038
"1108",2039,93194,2263.181175,0.0242846232053566,439.427842227809,458.685688898399
"1108",2040,93750,2347.666418,0.0250417751253333,443.689549229546,462.703278767273
"1108",2041,94287,2428.760938,0.0257592344437727,448.15778458624,466.577788054701
"1108",2042,94803,2513.726099,0.0265152590002426,452.902200595807,470.431715136868
"1108",2043,95299,2595.889719,0.0272394224388504,457.834581305163,474.14858482056
"1108",2044,95772,2679.114279,0.0279738783673725,462.983487178248,477.785144746127
"1108",2045,96221,2771.431556,0.0288027723262074,468.455968762111,481.484269245676
"1108",2046,96646,2850.110384,0.029490205326656,473.905336686252,484.829807866179
"1108",2047,97046,2937.773412,0.0302719680563856,479.655927756575,488.232031275014
"1108",2048,97420,3021.583609,0.031016050184767,485.491975970051,491.450784832488
"1108",2049,97769,3109.877069,0.0318084164612505,491.545286338802,494.644453339015
"1108",2050,98092,3198.470042,0.0326068389063328,497.731644875235,497.731644875235
"1111",2026,3144,90.60606,0.0288187213740458,22.8312168363078,21.3121683630777
"1111",2027,3131,92.739239,0.0296196866815714,22.7643778906239,21.286384659083
"1111",2028,3118,94.956035,0.0304541484926235,22.6960028525976,21.262873443415
"1111",2029,3105,98.395424,0.0316893475040258,22.6324190923712,21.2702074935113
"1111",2030,3092,101.75629,0.0329095375161708,22.5690004419963,21.276001767985
"1111",2031,3078,106.065162,0.0344591169590643,22.5113031232629,21.3001847765665
"1111",2032,3065,109.107841,0.0355979905383361,22.4471290566728,21.2988586359162
"1111",2033,3052,113.570281,0.0372117565530799,22.3961531124142,21.334215482522
"1111",2034,3040,117.570484,0.0386745013157895,22.3457829221627,21.3644573054068
"1111",2035,3029,120.271345,0.0397066176956091,22.2858925021181,21.3677542905557
"1111",2036,3018,127.114868,0.0421189092113983,22.277547042696,21.4790464056758
"1111",2037,3008,129.748073,0.0431343327792553,22.2249067157686,21.4876228600362
"1111",2038,2998,134.038937,0.0447094519679787,22.1970356826806,21.5400648776011
"1111",2039,2989,138.203637,0.0462374161927066,22.175086430429,21.5958917964749
"1111",2040,2979,141.766042,0.04758846659953,22.1439904087557,21.6303846540091
"1111",2041,2970,145.312582,0.0489267952861953,22.1195215455305,21.6709759177819
"1111",2042,2960,147.840515,0.0499461199324324,22.075141700439,21.67877385777
"1111",2043,2950,151.356512,0.0513072922033898,22.0511986847795,21.7134897420739
"1111",2044,2939,153.660883,0.0522833899285471,22.0002351454808,21.7099808328785
"1111",2045,2928,156.123711,0.0533209395491803,21.9527307623652,21.711053245988
"1111",2046,2917,157.807001,0.0540990747343161,21.8875243332282,21.6912050979155
"1111",2047,2905,160.67223,0.0553088571428571,21.8443660673855,21.6978772590259
"1111",2048,2893,161.715692,0.0558989602488766,21.7558643949146,21.6549885350428
"1111",2049,2880,163.381742,0.0567297715277778,21.6749855978593,21.6233616601136
"1111",2050,2867,165.962171,0.0578870495291245,21.617167207669,21.617167207669
"1112",2026,3238,82.443527,0.0254612498455837,22.7430588792804,20.4305887928036
"1112",2027,3248,86.05502,0.0264947721674877,22.6660660134909,20.5713891890246
"1112",2028,3257,88.68898,0.0272302671169788,22.5947037705688,20.6840215461076
"1112",2029,3265,91.313927,0.0279675120980092,22.5305614160662,20.7908772520761
"1112",2030,3273,94.620765,0.0289094912923923,22.478458048425,20.9138321937
"1112",2031,3281,101.120231,0.0308199423956111,22.4572358761484,21.1121247866031
"1112",2032,3288,103.099884,0.0313564124087591,22.4145999746342,21.1987691527207
"1112",2033,3295,105.530033,0.0320273241274659,22.3823557562712,21.2961538104034
"1112",2034,3301,109.187682,0.0330771529839443,22.3668421487222,21.4171053718055
"1112",2035,3308,114.869437,0.0347247391172914,22.3841730714578,21.5923955919036
"1112",2036,3314,120.665625,0.0364108705491853,22.4136257906228,21.7655279802585
"1112",2037,3321,121.905179,0.0367073709725986,22.4030377967162,21.8351957009096
"1112",2038,3327,127.219866,0.0382386131650135,22.4487016004531,21.9976392735511
"1112",2039,3332,132.795278,0.039854525210084,22.5073459992301,22.1614399986895
"1112",2040,3337,135.411365,0.0405787728498651,22.5335208040937,22.2536332865499
"1112",2041,3342,140.690848,0.0420978001196888,22.6099778437443,22.4112873113122
"1112",2042,3346,145.311136,0.0434283132098027,22.6833863128792,22.5476947326846
"1112",2043,3349,146.732627,0.0438138629441624,22.7048480097479,22.5997939115226
"1112",2044,3352,151.771259,0.0452778218973747,22.7997558045554,22.7416203929748
"1112",2045,3355,155.324068,0.046296294485842,22.8757032122333,22.8470193381333
"1112",2046,3357,157.251669,0.0468429159964254,22.9204755124043,22.9064417792992
"1112",2047,3358,161.132204,0.0479845753424658,23.0082115845346,23.0092524896165
"1112",2048,3359,161.816713,0.0481740735337898,23.0296745642554,23.0320806100059
"1112",2049,3358,166.722249,0.0496492701012507,23.1443134236734,23.1499360245958
"1112",2050,3358,167.676668,0.0499334925550923,23.1740415181228,23.1740415181228
"1114",2026,2812,51.390008,0.0182752517780939,19.7521153864124,17.5211538641241
"1114",2027,2827,53.200043,0.0188185507605235,19.676832913974,17.6496939198111
"1114",2028,2841,57.507029,0.020241826469553,19.6202114072015,17.8297794697231
"1114",2029,2854,60.533099,0.0212099155571128,19.5696814654433,17.974971602086
"1114",2030,2868,64.102483,0.0223509354951186,19.5346932020118,18.138772808047
"1114",2031,2882,64.823481,0.0224925333102012,19.4930712075741,18.236769417649
"1114",2032,2896,69.607991,0.0240359084944751,19.4894949848904,18.4292153381245
"1114",2033,2910,74.922494,0.0257465615120275,19.5050669484748,18.6346674440684
"1114",2034,2923,76.951686,0.0263262695860417,19.5030760211146,18.7576900527866
"1114",2035,2937,80.771585,0.0275013908750426,19.5313527432962,18.9288062703913
"1114",2036,2951,84.101805,0.0284994256184344,19.5671171391725,19.0886676614158
"1114",2037,2965,87.300614,0.0294437146711636,19.6133997083867,19.2456579675837
"1114",2038,2979,90.888976,0.0305098945955018,19.676692968188,19.4121690330692
"1114",2039,2993,95.05696,0.0317597594386903,19.760806406845,19.5928619690979
"1114",2040,3007,97.997732,0.0325898676421683,19.8402707771769,19.7444332434831
"1114",2041,3020,101.584221,0.0336371592715232,19.9377142345726,19.9059837502982
"1114",2042,3032,104.516337,0.0344710874010554,20.0323398936289,20.0461998480413
"1114",2043,3044,106.429269,0.0349636231931669,20.1193775172717,20.1618678200294
"1114",2044,3055,110.868836,0.0362909446808511,20.2583161343254,20.3333111410651
"1114",2045,3065,112.969026,0.0368577572593801,20.3593300598309,20.4422523813303
"1114",2046,3074,116.385447,0.037861238451529,20.4910887951933,20.5777515237568
"1114",2047,3082,118.964597,0.0385998043478261,20.6098681568092,20.687175387954
"1114",2048,3089,120.395698,0.0389756225315636,20.7055102083763,20.7627137387852
"1114",2049,3095,125.589866,0.0405783088852989,20.8907795451632,20.925485241728
"1114",2050,3100,126.441907,0.0407877119354839,20.9753676570709,20.9753676570709
"1119",2026,19400,357.478584,0.0184267311340206,108.276730710786,110.767307107863
"1119",2027,19512,371.891587,0.0190596344300943,108.503975006753,111.665272776383
"1119",2028,19619,391.737569,0.0199672546511035,108.81399332858,112.65139044903
"1119",2029,19722,413.016798,0.0209419327654396,109.200134996436,113.647694100878
"1119",2030,19822,430.309827,0.0217086987690445,109.636273793914,114.545095175657
"1119",2031,19919,447.752191,0.0224786480747025,110.136298883746,115.430604813029
"1119",2032,20014,467.822574,0.0233747663635455,110.717755574753,116.362324845392
"1119",2033,20109,490.817927,0.0244078734397533,111.392193684169,117.357775680465
"1119",2034,20204,514.094514,0.0254451848148881,112.144369128339,118.360922820848
"1119",2035,20300,534.774903,0.0263435912807882,112.950392835254,119.315183623438
"1119",2036,20398,554.943013,0.0272057561035396,113.828383182786,120.270280384812
"1119",2037,20494,574.461949,0.0280307382160632,114.765969442453,121.20189159503
"1119",2038,20589,596.097563,0.0289522348341347,115.796402319015,122.175276943664
"1119",2039,20682,620.409953,0.0299975801663282,116.928711347366,123.197806548709
