"Region","Kjonn","Alder","ContentsCode","Tid","verdi","status","Region_tekst","Kjonn_tekst","Alder_tekst","ContentsCode_tekst","Tid_tekst","ssb_tabell","hentet_utc"
"0301","2","000","Personer","2026",4355,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2026","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2027",4317,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2027","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2028",4362,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2028","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2029",4399,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2029","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2030",4429,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2030","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2031",4455,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2031","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2032",4479,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2032","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2033",4502,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2033","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2034",4527,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2034","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2035",4558,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2035","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2036",4597,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2036","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2037",4600,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2037","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2038",4607,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2038","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2039",4619,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2039","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2040",4633,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2040","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2041",4645,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2041","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2042",4653,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2042","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2043",4655,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2043","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2044",4651,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2044","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2045",4640,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2045","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2046",4623,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2046","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2047",4600,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2047","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2048",4573,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2048","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2049",4543,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2049","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer","2050",4511,,"Oslo - Oslove","Kvinner","0 år","Hovedalternativet (MMMM)","2050","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2026",4355,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2026","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2027",4124,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2027","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2028",3962,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2028","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2029",3795,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2029","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2030",3624,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2030","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2031",3453,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2031","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2032",3285,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2032","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2033",3253,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2033","14746","2026-09-10 12:00:25 UTC"
"0301","2","000","Personer1","2034",3223,,"Oslo - Oslove","Kvinner","0 år","Lav nasjonal vekst (LLML)","2034","14746","2026-09-10 12:00:25 UTC"
