"kommunenr_2024","år","y5_predikert","y5_nedre","y5_ovre","n_bootstrap_ok"
"0301",2026,3113.04869957521,3110.85094056916,3183.0161922989,60
"0301",2027,3111.20176806258,3106.49587952866,3244.93238664565,60
"0301",2028,3116.62024668294,3108.79438571071,3314.8164666116,60
"0301",2029,3130.03615850853,3117.09899880141,3393.36366063655,60
"0301",2030,3152.45993113184,3132.37536424657,3481.53339282029,60
"0301",2031,3182.94756694171,3154.38023284892,3578.3689150679,60
"0301",2032,3222.3459287904,3183.37196094197,3684.64412162392,60
"0301",2033,3269.38259042972,3218.45496907507,3799.07318404148,60
"0301",2034,3324.98120618803,3260.24852711344,3922.5471556468,60
"0301",2035,3389.74588819225,3309.12053568798,4055.62092685475,60
"0301",2036,3462.02141773173,3363.84214864206,4196.60906062443,60
"0301",2037,3508.73844483677,3400.42801744309,4245.93616800534,60
"0301",2038,3552.38718615809,3434.54732439774,4291.98654230773,60
"0301",2039,3594.61816805673,3467.35263707178,4339.65222662547,60
"0301",2040,3636.53193786206,3499.62653797026,4390.36698639314,60
"0301",2041,3677.75599667339,3531.13233244008,4440.25143821005,60
"0301",2042,3717.99715324627,3561.69003693278,4488.95017014019,60
"0301",2043,3758.753048159,3592.33152779574,4538.27712454107,60
"0301",2044,3799.75910508146,3622.89078130556,4587.91171424646,60
"0301",2045,3841.92981107214,3654.00871059742,4638.9615664927,60
"0301",2046,3884.35485449323,3685.09174591934,4690.32368874588,60
"0301",2047,3926.28420997861,3715.65948895346,4741.08907629852,60
"0301",2048,3968.36974125418,3746.16943581725,4792.04724356426,60
"0301",2049,4012.14771315435,3777.64702654562,4845.05945936371,60
"0301",2050,4058.54857922823,3810.72177256122,4901.25321520867,60
"1101",2026,101.201767386142,100.9382093847,101.445180807327,60
"1101",2027,101.629051325852,101.03932212631,102.154491121309,60
"1101",2028,102.264834483875,101.273648323609,103.126110151696,60
"1101",2029,103.282522350651,101.743367729826,104.584960102197,60
"1101",2030,104.667144683235,102.436347942526,106.515500583371,60
"1101",2031,106.351358690051,103.31197725255,108.847093506879,60
"1101",2032,108.238496881621,104.310970380692,111.45633746668,60
"1101",2033,110.625751155802,105.606447062444,114.7326898007,60
"1101",2034,113.224278250065,107.02664355257,118.294130449825,60
"1101",2035,116.116401057109,108.622783426049,122.249028407593,60
"1101",2036,119.132786129662,110.295188000885,126.37110615997,60
"1101",2037,121.501442741619,111.688038280942,129.554584819459,60
"1101",2038,123.266976066424,112.723580653226,131.935014141503,60
"1101",2039,124.902860065384,113.678683679534,134.14835831576,60
"1101",2040,126.265463105646,114.471174326998,135.997467324808,60
"1101",2041,127.690944843222,115.289970564435,137.943604351468,60
"1101",2042,129.495690083978,116.312858445912,140.423749589142,60
"1101",2043,131.362169223358,117.35876120431,143.00430607074,60
"1101",2044,132.629963838265,118.068000025312,144.761103345148,60
"1101",2045,133.643229520665,118.62946991612,146.171689383978,60
"1101",2046,134.707871701046,119.21436357,147.659967898171,60
"1101",2047,136.383342627227,120.123399592342,150.015927493628,60
"1101",2048,137.900468737036,120.93940720098,152.159409662139,60
"1101",2049,139.121487078076,121.582964983459,153.899786243556,60
"1101",2050,140.503972158005,122.30770489588,155.878008740984,60
"1103",2026,685.173146645864,684.562192356379,689.885631225464,60
"1103",2027,692.397128532016,690.88558897534,701.678162371171,60
"1103",2028,701.414650224241,698.501466337022,715.630297035518,60
"1103",2029,712.436255626419,707.555286573079,732.007992166202,60
"1103",2030,725.638700413717,718.165759965885,751.0390755532,60
"1103",2031,741.240735929279,730.367517676647,773.005394648893,60
"1103",2032,758.71942862961,743.761679803491,797.262022394798,60
"1103",2033,778.97264481777,758.964730514822,824.94669109812,60
"1103",2034,801.40556204942,775.612803890706,855.318024658722,60
"1103",2035,826.50165205165,793.982651142047,888.996066703052,60
"1103",2036,854.578643302365,814.242429896899,926.398515846295,60
"1103",2037,866.365282205021,822.069323769269,940.91372475517,60
"1103",2038,879.564460040774,830.640458914725,957.28058649266,60
"1103",2039,892.107109057836,838.745459563938,972.866813010613,60
"1103",2040,904.790882903394,846.857398922622,988.684976617665,60
"1103",2041,917.838318857742,855.096193316073,1005.0256251524,60
"1103",2042,928.741401982546,862.03301700576,1018.66375343417,60
"1103",2043,941.153045157977,869.761104467025,1034.28965266501,60
"1103",2044,953.72447303742,877.510678088915,1050.17131545216,60
"1103",2045,965.964383321018,885.000609024249,1065.67650534347,60
"1103",2046,978.353768617581,892.505555567647,1081.42513702907,60
"1103",2047,989.611834504253,899.308970222174,1095.75571015772,60
"1103",2048,1001.22291907707,906.246204944643,1110.59022647436,60
"1103",2049,1013.37931169341,913.423634249445,1126.18084526167,60
"1103",2050,1025.59113619105,920.568348778798,1141.89166327141,60
"1106",2026,273.92189103693,273.606015041501,274.126361315556,60
"1106",2027,275.41055647261,274.654030151897,275.907246861536,60
"1106",2028,277.708559507207,276.285338192976,278.65507031187,60
"1106",2029,280.650580418294,278.395416396818,282.163317108259,60
"1106",2030,284.511292024715,281.143979839249,286.788624388299,60
"1106",2031,289.335836386094,284.55451102657,292.593679310926,60
"1106",2032,294.527564944508,288.262138625244,298.818340922372,60
"1106",2033,301.30627760433,292.988399791213,307.040461541311,60
"1106",2034,308.407124787213,297.978457638888,315.631430803938,60
"1106",2035,316.886678754291,303.851034355627,325.966150564291,60
"1106",2036,326.31719184305,310.351849827507,337.494363035661,60
"1106",2037,330.502749845505,313.248458280943,342.627681836032,60
"1106",2038,335.751293288472,316.739513425114,349.177052761112,60
"1106",2039,340.765885509825,320.066144279978,355.449153402232,60
"1106",2040,345.797752683356,323.368688620099,361.777623170348,60
"1106",2041,350.575324544618,326.497056250745,367.799127902268,60
"1106",2042,354.783606415597,329.272716909492,373.093408486521,60
"1106",2043,359.494692312816,332.306942246662,379.082980514212,60
"1106",2044,364.356703524924,335.402731928791,385.299546130175,60
"1106",2045,369.014582549453,338.355120651892,391.272740045665,60
"1106",2046,373.539543000204,341.20538748567,397.096211031333,60
"1106",2047,377.812758480626,343.89071655136,402.60672293901,60
"1106",2048,382.211291611328,346.620098244976,408.312616090016,60
"1106",2049,387.404227119391,349.765121232583,415.119486692719,60
"1106",2050,392.278690662903,352.709674522144,421.523584934328,60
"1108",2026,411.940317105998,411.574795985717,415.12084751429,60
"1108",2027,413.176597995563,412.25738833371,419.245599613679,60
"1108",2028,415.644536812851,413.938133391222,424.622429840402,60
"1108",2029,419.45478473166,416.711327829256,431.35353155716,60
"1108",2030,424.644540056151,420.610831890628,439.470182554452,60
"1108",2031,431.426625221144,425.62210269121,449.17562077893,60
"1108",2032,439.615314859583,431.695778332468,460.313486347658,60
"1108",2033,449.332254217742,438.893312644078,473.435968517876,60
"1108",2034,460.629202237252,447.224767997141,488.281365302982,60
"1108",2035,473.232031608674,456.533232379583,504.564543710374,60
"1108",2036,487.749687538429,467.17047613091,522.941873743199,60
"1108",2037,496.151720536106,473.328599122583,532.10269392089,60
"1108",2038,504.499638442838,479.403637613701,541.208839852906,60
"1108",2039,512.933147753788,485.479073977361,550.825658593031,60
"1108",2040,521.426064767754,491.536778962116,560.998578470949,60
"1108",2041,529.643282788066,497.384147280954,570.859302454355,60
"1108",2042,538.140410850508,503.338809848212,581.172326629888,60
"1108",2043,546.402068915657,509.104658662532,591.220473140765,60
"1108",2044,554.721307103479,514.844254947069,601.384253967769,60
"1108",2045,563.74901962431,520.925298482484,612.507915023412,60
"1108",2046,571.649230241971,526.301000369264,622.218341502587,60
"1108",2047,580.256316571301,532.012669013911,632.890986859212,60
"1108",2048,588.519004680433,537.46117686402,643.16547751408,60
"1108",2049,597.136666935012,543.042286961153,653.950846594957,60
"1108",2050,605.762994014894,548.557438276575,664.799648161034,60
"1111",2026,22.9302340875863,22.8768536315196,23.0803938956514,60
"1111",2027,22.8969390554682,22.7756711160531,23.1909994805372,60
"1111",2028,22.8947139042422,22.6874089526767,23.3417657391239,60
"1111",2029,22.9696268785259,22.6385174105812,23.5888717611161,60
"1111",2030,23.0968001678209,22.6136530636556,23.9024580326449,60
"1111",2031,23.333276832734,22.6442185840215,24.3531710803208,60
"1111",2032,23.5628845994385,22.6645698051883,24.8016373601635,60
"1111",2033,23.9599482388907,22.7741581291971,25.4688638692262,60
"1111",2034,24.4058435952651,22.9057607847156,26.2015356788382,60
"1111",2035,24.8009942944283,23.0034941757894,26.8729772106383,60
"1111",2036,25.7329173595136,23.3967053018916,28.2322339757339,60
"1111",2037,26.0104493571972,23.5220111778476,28.6023752354646,60
"1111",2038,26.4950228632367,23.7609009607598,29.2392840674354,60
"1111",2039,26.9797514871821,24.0003521252536,29.9113478622132,60
"1111",2040,27.3967514703178,24.197338546042,30.5000022338699,60
"1111",2041,27.8243563199199,24.4012542229769,31.1103403217783,60
"1111",2042,28.124451247666,24.5315113632434,31.5525122235404,60
"1111",2043,28.5622033655427,24.7342332176205,32.1490443575586,60
"1111",2044,28.8425236603831,24.8480994496687,32.5220346699896,60
"1111",2045,29.1499558409911,24.9752438288508,32.9305521724984,60
"1111",2046,29.3547214396492,25.0471854094862,33.2086862155633,60
"1111",2047,29.7273043741118,25.2030105817277,33.704039831237,60
"1111",2048,29.8471532525655,25.2256229943501,33.8761586183986,60
"1111",2049,30.0564809025058,25.2909659879899,34.1652108657767,60
"1111",2050,30.4036532310626,25.4267218746593,34.6352489810785,60
"1112",2026,22.8265034088735,22.7889860016201,22.9018552791867,60
"1112",2027,22.7411926036941,22.6510642145474,22.8988762273504,60
"1112",2028,22.6975145247323,22.5435410983605,22.9457065015914,60
"1112",2029,22.7035462562541,22.4714411642322,23.0543312696985,60
"1112",2030,22.7907137086615,22.4557803776074,23.2367581809232,60
"1112",2031,23.1129452683107,22.5969064685827,23.6516669897572,60
"1112",2032,23.2739705577998,22.6336527589384,23.9036004642125,60
"1112",2033,23.5087093776675,22.720937365717,24.2436686316984,60
"1112",2034,23.8915747134033,22.904833695771,24.8071211061263,60
"1112",2035,24.5422852998577,23.2647312683007,25.7209800136702,60
"1112",2036,25.3234231493119,23.7064673338037,26.8106493709802,60
"1112",2037,25.4812091235857,23.8229415390705,27.0059340914558,60
"1112",2038,26.0737207496199,24.2124903416389,27.7907571284109,60
"1112",2039,26.7031757916249,24.6205646141465,28.6359397535263,60
"1112",2040,27.0125199623225,24.8261966445753,29.0470406660501,60
"1112",2041,27.6274632699766,25.2214912287776,29.8792785657024,60
"1112",2042,28.1743339919787,25.569951668208,30.6242750928982,60
"1112",2043,28.3503933248797,25.6859363527266,30.8605636715284,60
"1112",2044,28.9562817919386,26.0657095216853,31.6949194778731,60
"1112",2045,29.3934023507441,26.340380253527,32.2974240302762,60
"1112",2046,29.6341548603479,26.4878473418093,32.6292816071203,60
"1112",2047,30.1148358956654,26.7566355836767,33.3018853553121,60
"1112",2048,30.2028716849672,26.8081710590026,33.4231601796571,60
"1112",2049,30.8163558004677,27.1416983908141,34.292668036588,60
"1112",2050,30.9377529775702,27.2079971543707,34.464752592073,60
"1114",2026,19.7912599156324,19.7714924334576,19.8726397202527,60
"1114",2027,19.6473597766698,19.5993711235052,19.8053100322271,60
"1114",2028,19.6069918919779,19.4941396631871,19.8508353661645,60
"1114",2029,19.6053396576489,19.4168174137588,19.9382270564477,60
"1114",2030,19.6912996318978,19.3974691423084,20.1276568373714,60
"1114",2031,19.7037410227253,19.3418951824754,20.2324285443065,60
"1114",2032,19.9858439824086,19.453840745534,20.6615153511521,60
"1114",2033,20.4052624146372,19.6509252271849,21.255937529563,60
"1114",2034,20.6668374949737,19.7590681128368,21.6567149017389,60
"1114",2035,21.142622403763,19.999949703393,22.3159348353761,60
"1114",2036,21.6538434775213,20.2670134006925,23.0164304232404,60
"1114",2037,22.0426278706381,20.5277850296185,23.4797204411309,60
"1114",2038,22.4757571217884,20.8130786403026,23.9996821080373,60
"1114",2039,22.9751947267325,21.1349626713003,24.6256089300565,60
"1114",2040,23.3492453997021,21.3846777761168,25.0692452479313,60
"1114",2041,23.7923887684814,21.6698206288323,25.5891042942333,60
"1114",2042,24.1640756960419,21.9112182592569,26.0289681866868,60
"1114",2043,24.4255630906851,22.0905454544759,26.3346560210049,60
"1114",2044,24.9680792706689,22.4228044085891,26.9952021605253,60
"1114",2045,25.2469876686738,22.6052331380607,27.3552785480575,60
"1114",2046,25.6750584464759,22.8665154577529,27.924777583909,60
"1114",2047,26.0062182084532,23.0709277056199,28.3640006497927,60
"1114",2048,26.201142680766,23.1975827432063,28.61720723587,60
"1114",2049,26.8405391840153,23.5626265440893,29.4936395848245,60
"1114",2050,26.9618867963242,23.6428947722236,29.6504346438925,60
"1119",2026,108.679168280301,108.48337334016,109.616921051759,60
"1119",2027,109.609229608173,109.152705887422,111.410384431071,60
"1119",2028,110.964611394779,110.110228715232,113.65299444295,60
"1119",2029,112.746599125068,111.352734260232,116.345694843177,60
"1119",2030,114.778672601969,112.777712531025,119.303494202983,60
"1119",2031,117.161626072048,114.449132716553,122.548600463272,60
"1119",2032,120.041161845514,116.460187865293,126.205855858918,60
"1119",2033,123.512668754472,118.856331591987,130.482507465955,60
"1119",2034,127.464880029255,121.569854468478,135.219579252851,60
"1119",2035,131.677146680328,124.473255975765,140.212943236922,60
"1119",2036,136.281508519546,127.646005094841,145.585997942154,60
"1119",2037,138.494401759441,129.151927013209,147.854495378675,60
"1119",2038,140.921319357647,130.774006203531,150.407535620123,60
"1119",2039,143.619685498358,132.540770086194,153.292548016688,60
"1119",2040,145.885903746698,134.049124239014,155.84800535206,60
"1119",2041,147.935712586567,135.421486314315,158.313667010302,60
"1119",2042,150.218497023969,136.91677391919,161.183756867513,60
"1119",2043,152.597514508496,138.451783413873,164.283480440939,60
"1119",2044,155.071294253539,140.024872709761,167.531349568116,60
"1119",2045,157.132416247313,141.353946520724,170.224883668496,60
"1119",2046,159.0146081686,142.565553773004,172.689057797895,60
"1119",2047,161.188632463032,143.924985772078,175.574048161804,60
"1119",2048,162.897279510787,145.014906068779,177.824778154061,60
"1119",2049,165.341134988464,146.489073881784,181.124003485523,60
