kommunenr,kommune,fil,dokumenttype,format,nedlasting,sider,demografi_avsnitt
3303,Kongsberg,3303_kongsberg_temaplan_skolestruktur_2023-2030,kunnskapsgrunnlag,pdf,finnes,22,10
3303,Kongsberg,3303_kongsberg_helse_omsorgsplan_2018-2021,helse_omsorg,pdf,finnes,51,22
3303,Kongsberg,3303_kongsberg_temaplan_leve_hele_livet_funksjonsnedsettelse,helse_omsorg,pdf,finnes,35,12
3303,Kongsberg,3303_kongsberg_menon_rapport,kunnskapsgrunnlag,pdf,finnes,41,31
3305,Ringerike,3305_ringerike_arealbruk_befolkning_honefoss_2025,kunnskapsgrunnlag,pdf,finnes,20,9
3305,Ringerike,3305_ringerike_leve_hele_livet_handlingsplan_2021,helse_omsorg,pdf,finnes,21,8
3310,Hole,3310_hole_kommunedelplan_velferd_2026-2038,helse_omsorg,pdf,finnes,91,41
3312,Lier,3312_lier_helhetlig_boligstrategi_2023-2027,bolig,pdf,finnes,21,13
3312,Lier,3312_lier_temaplan_helse_omsorg_velferd_2018-2026,helse_omsorg,pdf,finnes,30,23
3312,Lier,3312_lier_temaplan_demensomsorg_2024-2028,helse_omsorg,pdf,finnes,33,36
3312,Lier,3312_lier_handlingsplan_demensomsorg_2025-2029,helse_omsorg,pdf,finnes,12,9
3312,Lier,3312_lier_skolebehovsanalyse,kunnskapsgrunnlag,pdf,finnes,92,5
3312,Lier,3312_lier_folkehelsestrategi,folkehelse,pdf,finnes,17,3
3316,Modum,3316_modum_helse_velferdsplan_2021,helse_omsorg,pdf,finnes,20,13
3316,Modum,3316_modum_boligplan_unge_2023,bolig,pdf,finnes,21,8
3318,Krødsherad,3318_krodsherad_temaplan_boligutvikling_2024-2033,bolig,pdf,finnes,13,4
3318,Krødsherad,3318_krodsherad_temaplan_boligutvikling_2024-2033_bakgrunn,bolig,pdf,finnes,34,20
3318,Krødsherad,3318_krodsherad_demensplan_2023-2027,helse_omsorg,pdf,finnes,13,15
3318,Krødsherad,3318_krodsherad_velferdsteknologi_2023-2027,helse_omsorg,pdf,finnes,15,0
3318,Krødsherad,3318_krodsherad_folkehelse_oversikt_2024-2028,folkehelse,pdf,finnes,84,36
3318,Krødsherad,3318_krodsherad_temaplan_folkehelse_2024-2033,folkehelse,pdf,finnes,12,10
3318,Krødsherad,3318_krodsherad_bosetting_flyktninger_2024-2028,integrering,pdf,finnes,18,9
3320,Flå,3320_flaa_planstrategi_2024-2027_horing,planstrategi,pdf,finnes,12,4
3320,Flå,3320_flaa_folkehelse_oversikt_2024-2027,folkehelse,pdf,finnes,57,48
3320,Flå,3320_flaa_tilskudd_unge_boligsokende_2020,bolig,pdf,finnes,1,0
3322,Nesbyen,3322_nesbyen_folkehelse_2020,folkehelse,pdf,finnes,69,40
3324,Gol,3324_gol_kommunedelplan_helse_omsorg_2017-2026,helse_omsorg,pdf,finnes,66,35
3324,Gol,3324_gol_bustadpolitisk_handlingsplan_hallingdal,bolig,pdf,finnes,37,8
3324,Gol,3324_gol_bustadpolitisk_handlingsplan_hallingdal_del2,bolig,pdf,finnes,27,33
3324,Gol,3324_gol_folkehelseprofil_oppsummering_2024,folkehelse,pdf,finnes,7,4
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_2025-2030,bolig,pdf,finnes,46,10
